Original English,Translated AR
That's not fair.,هادشي غير عادل
i have never entered a churche,أنا مابقيت في كنيسة
you are too late to buy dates,واش تتأخري بزّاف بزّاف بزّاف بزّاف
I dare you to explain this quote,هاداك تفسّر ليا هاد الاقتباس
half past,باش باش باش بزّاف
i want all the traveler  need,مابغيتي بزّاف المسافر
what is the last book you read?,ماهو آخر كتاب قرأته؟
you are too late,غادي بزاف بزّاف بزّاف
living cost here is cheao,بزّاف بزّاف هاد باش بزّاف
what do you need,ما حاجتيك؟
Where can I find the tea?,أين يمكني أن أجد الشاي؟
He didn't have abundance when he grew up. ,ماكان مايملكه بزّاف بزّاف بزّاف.
The shark is an aquatic animal,القرشة حيوان ماحي
which celebrity would you like to meet?,ما هو الشهرة التي ترغب في مقابلتها؟
we can't get enough of this meetup,مانستطيعش ناقدر نا نا ناكل من هاد الملتقى
clear the table,وضّح المائد
why did you bring a tree onto the plane?!,علاش جلبت شجرة على الطائرة؟
tell me if you knew something,قل لي ليا غادي تاعرف شي شي
You don't want to spend ,مابغيتيش نصرف
Have you tried to eat this typoe of chocolat,عمرك جربتي تاكل ديال ديال تشوكولات
it's ok,راه بزّاف
give me change please,علّمني فكة من فضلك
i won't find better then you ,أنا مانوجد أحسن ثمّ أنت.
i don't have call coins,ماعندي ماشي نطلي بزّاف بزّاف
a drunk guy stroke my friend,رجل سكتة ليا صديقي
I'm recording an audio,أنا أسجل صوت
too many clothes,راه ديال بزّاف
still renting,باش باش بزّاف
the doctor prescribed medications for me,الطبيب وصف ليا ديال
She's older than me,هي أكبر مني
close your eyes,غادي غادي عيناك
come hold my hand,واش تا ليدّي
you have big expectations,عندك توقعات كبيرة
did your car broke,تحطّمت بسيارتك
i thought that he will perserve the motobike,كانضن ليه غادي يقدر على ديال ديما ديموك
the team's strategy on the field was well coordinated,كانت استراتيجية الفريق في الميدان كانت جيدة التنسيق
she don't want to wake up,مابغيتيش نستيقظ
Omar gave it to Mohamed,عمر اعطاها لمحمد
whats for diner tonight,واش ديال ديال الليلة
i can't live without you,أنا مانقدرش نسكن بلاك
we found a line,واجدنا سطر
i've got a surprise for you,عندي مفاجأة لك
i went with you,أنا مشيت معك
When are you going to do my job?,متى ستقوم بوظيفتي؟
education make you grow up,علاش ليك تربي
 you are too late to stock goods,واش تاخرت بزّاف بزّاف بزّاف
best thing,راه
I don't speak very well,ماكانشش نتكلّم بزّاف بزّاف
is the meter on?,هاد ال متر على؟
It's six months since I've seen her,مرّت ستة أشهر منذ أن رأيتها
from morning ive been thinking what should i do,من صباح ماكنتفكّر ماعليّ فعله
You don't want to agree with him,مابغيتيش توافقي عليه
you can edure ,واش تقدر تاخدش
i will pour this juice in the glass,غادي تسكب هاد العصير في الكوب
I'm thinking if swam in the pool,مانفكّر لو سبح في البركة
she a normal problem,هادشي مشكلة طبيعية
Really we're about the same age.,حقّا نحن تقريبا نفس العمر.
i thought that he will have better butter,واش كان ليا ليه زبدة أفضل
what do you think is the greatest accomplishment of your life?,ما رأيك هو أعظم إنجاز في حياتك؟
I found him in the bus station,واجدته في محطة الباص
i had to ask my friend to prepare ,كان عليّ أن أطلب من صديقتي أن تحضّر
why you dont wanna decide yet,علاش مابغيتيش تقرّر بعد
and when she coms tell her to come,و عندما كانت تاقول ليها تاتي
i bought a toy,شريت لعبة
he tells me everything,قال لي كل شي
he has big taste,راه راه بزّاف بزّاف بزّاف
he have nothing to do,ماعنده شي ليعمله
she want to work,راه تشتغل
between them,راه بينك وبينهم
I have difficulty sleeping,كان عندي بزّاف
god forbids,راه
i will share my money,غادي نتشارك في مالي
what's your opinion on taking a cooking class together to learn a new cuisine?,مارأيك في أخذ فصل طهي معا لتعلّم مطابخ جديدة؟
they told me to rest ,قالو ليا نرتاح
I think we will understand each other,واش نتفهّم معانا
don't threw something on her,واش تاخد شي شي شي عليها
God is with me,الله معي
oh! you became famous ,أوه! أصبحت مشهورة!
"Oh, yeah?",أوه، نعم؟
i will leave the house,أنا غادي نخلي البيت
my mom yelled at me yesterday,أمّي صرخت ليا البارح
you are too late to reduce access,بزّا بزّاف باش تقصّر
this place is spacious,هادشي هادشي هادشي
Her father is an electrician,راه ديال هادشي راه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
I'm just passing time,أنا غادي نفوت الوقت
I dare you to take me a picture,تحداك تا تاخد ليا صورة
it's not very high,هادشي ماشي راه
He looks angry,راه غادي غادي غادي
the men is famous here,الرجال مشهورون هنا
i did nothing,أنا مافعلش
where are you at,أين كنت فيك؟
they written a report,كانو يكتبو تقرير
if only I could falsify this book,كون غير قدرت على تزييف هذا الكتاب
you became pretty,غادي تبولي
Why don't you want to find a justification,علاش مابغيتيش تاجدو التبرير
Especially since we don't have a tent to shelter us,خاصتنا ماعندنا ديال هاد الخيمة تأوينا
everyone for himself,راه ليه
whats his name,راه اسمه
hey how are you,كيف حالك؟
the man is peacefully photographed,راه راه راه ديال ديال ديال
in my eyes you will always stay young,في عينيّ واش تبقّو بزّاف
Is this your book?,هادشي كتابك؟
You don't need to call me sir.,مابغيتيش تنادني بسيدي
i will do sports,أنا غادي ندير رياضة
Why dont you want to stop boss from talking,علاش مابغيتيش تمنعي الرئيس من الكلام
i dont let my husband do something else,ماندع زوجي يفعل شي غيري
if only I could speak but i'm sick,كون غير قدرت نتكلّم ولكنّي مريض
do I need to keep calling people,مابغيتي غادي ندّعي ناس
My mom has one like it.,أمّي عندها واحد مثله
they went via transport,مشاو عبرو بزّاف بزّاف بزّاف
what important sports are particularly popular in this country?,ما هي الالعاب الالعاب الرياضية راهية في هذه البلاد؟
No problem,بلا مشكلة
They're managers of the other departments,هم مديرو الأقسام الأخرى
this reporter is one of the best,هاد المراسل واحد من أفضل
you are welcome,على الرحب و السعة
Don't be discouraged.,مابغيتيش تاخد
he told me you beat her,راه قال ليك هزمتيها
relevant,هادشي بزّاف بزّاف
dont say this,واش ماقولي هادشي
do you have hot bread?,واش عندك بزّاف؟
if you were in my place what you would have done,لو كنت في محلّي ماكنت لتفعل
I dont think the cut will heal,مانضناشاش القصّة ستشفي
god help women,علا غادي ندير النسوة
dont forget about me,ماننسى ليا
"Always catch the clothes, sister. ",دائما ما تاغيّر ديال ديال ديالك يا أختاه
i'm so tired,أنا مجهدة جدا
it's unlikely,راه غير متوقّع
i go from work,أنا غادي نمشي من العمل
climate change,واش ديال ديال ديال ديال ديال ديال ديال ديال
Don't yell at them,واش لا تصيح فيهم
overweight make you older,وزنك يزيدك عمرا
I think of taking my car to repear,فكّرت في أخذ سيّارتي للفارس
my uncle is ferious at me,عمّي ناقد ليا
no problem I found it,مامشاكل ماوجدتها
i will get my house good smell,أنا غادي ندير ديال ديال ديال ديال ديال ديال ديال ديال
and work here to pay my rent,واعمل هنا كي تدفع ليا ديال ديال ديال ديال ديالي
i'am just resting i do nothing,أنا غادي نخلّي ماعندي
prepare them at the door,غاديهم عند الباب
i really like your country,أنا حقا أحب بلدك
i'm from morocco,أنا من كوكو
there is no place for you to sleep,مامن مكان ننام فيه
did you phone her or not,واش اتصلت بها واش ماشي
the hotels don't seem very comfortable.,فنادق لا تبدو مريحة جدا.
I dare you to not stutter,نتجرأك على ماتش تترعد
it's up to you,راه ليك
I dare you to park in this tight space,أنا تحداك تركن في هاد الفسحة الضيقة
she is pretty,هادشي هادا بزّاف
i need to work,أنا محتاجة للعمل
my firiend want to be an engineer,راه ليا كي يكون مهندسا
this rule is unchangeable,هاد القاعدة غير قابل للتغيير
think about your child,فكّر في طفلك
I'm waiting for you to leak the exam,كانتسنّا فيك تخرّب الإمتحان
i dont like life,أنا مانحب الحياة
dont be false,واش ماكون غير مزور
I want to buy argan oil,مابغيتيش نشتري argan ديال
where are you going,هادشي هادشي
He might get even sicker!,هو قادير يمرض حتى!
"Look at this one, every time he goes for the piece of bread to steal from his rightful recipient",هاد هاد واحد، كل مرة يذهب لقطعة خبز ليسرق من مستلمه الحقيقي
I'm waiting for you to send me a flag of morocco,كانتسنّا باش تا تا نا تا نا نا نا نا ديال الماروكو
"take me there, please",غاديني هادشي، من فضلك
you should never pay your bills due,مابغيتيش تدّفّر فلوس ديالك
there are historical landmarks,و هاد التاريخ ديال التاريخ
everything you give him time,كل شيء تعطيه بعض الوقت
you study tomorrow,غادي ندرس
there's a poor atmosphere and little water,هادشي هاد بزّاف بزّاف بزّاف و بزّاف بزّاف بزّاف الماء
stop this,توقّف هادشي
yes from 9th chair,بلاي من كرسيّ التاسع
I didn't forget about nothing,مانسيت ماشيشيشيش
Why don't you want to ,علاش مابغيتيش
i want some covers,مابغيتي بزّاف بزّاف
just speak,فقط نتكلّم
if only I could be independant,كون غير قدرت قدرت نا نادير
wait until you find a project,بزّاف بزّاف بزّاف بزّاف بزّاف ديال بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
you find too much dificulties,كنت تجدي ديال بزّاف ديال بزّاف ديال بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
They'd need to be very close together,كانو ليكونو مقربين معا
What's your brother's name?,ماهو اسم اخيك؟
I dare you to stand in this place,تحداك تقف في هاد المكان
i like my neighbor food,أحب غادي جارتي
without repeating this task from the beginning,من غير ماكرّر هاد هاد المهمّة من البدايّة
i miss home food,غادي غادي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
they catched the thief,راهم لسارق
we have economical issues,عندنا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
How are you doing?,كيف حالك؟
be good with me,راهين معي
why you dont wanna travel this year,علاش مابغيتيش تسافري هاد العام
i had enough,كان عندي ما فيه الكفاية
we wil split on three groups,غادي نفتا على ثلاث مجموعات
can you share your perspective on the referee's decisions during the match?,يمكنك أن تشارك وجهة نظرك على قرارات الحكمية خلال المباراة؟
i dont think he will quote me,مانضنشش غادي يقتبس مني
we'll end up there,غادي نخينّا هادشي
are you married or not,راه تزوّج أو ماشي
she told meto answer,فطلبت مني أن أجاوب
like nothing,واش ماشي
hurry up,على رسلك
"OK, I'm outta here",حسنا، أنا خارج هنا
you should never leave the dog intied,مابغيتيش تتركي الكلب واش
you are too late to put  down the phone,بزّاف بزّاف باش تخلّص تليفون.
tomorrow,غادي
some people won't like this,بعض الناس مانحبو هادشي
if you want something i'm here for you,مابغيتيش شي شي شي هاد هنا من اجلك
you killed me with hunger,قتلتني بجوع
they have,عندهم
who do you think you are,واش تحسبك هادشي
if only i found a job,كون غير قدرت نوجد عمل
dont let them ,مابغيتيش مايتركو
can you explain how I do this piece of work please?,واش تفسّر ليا هاد القطعة من العمل من فضلك؟
they gave me his address,عطوني ليا ديال ديال ديال ديال ديال ديال ديال
can I rent a room or book a bar?,يُمْكِنُ أَنْ يُؤجّرَ غُرّة أَو يُديرُ بارّ؟
he brought a shovel,راه باش بزّاف
good thanks,شكّر بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
you were gonna expose me,كنت ستفضحني
why you dont wanna invite him,علاش مابغيتيش تدعوه
I'd like to visit Hawaii.,أود أن نزور هاواي
You don't want to stand out,مابغيتيش ندير
no problem,ماشيش مشكلة
do you wish to have a twin room?,واش تمنّي تا غادي تاين غادي؟
who brought him here,من جلبه هنا؟
no one could win,ما من أحد يستطيع أن يربح
they got the same major,عندهم نفس المادّة
he is not a man,ماكانش رجل
I'm thinking if i should finish my homework,أنا كُنْتُ نُفكّرُ إذا أنا يَجِبُ أَنْ تُنهي فروضي
My hands are a bit too arthritic now for making music but my grandson does visit and play for me sometimes,يداّايّ كانتا غير حادّة بزّاف بزّاف بزّاف ديال الموسيقى لكن حفيدي يزوّر ويلعب ليا في بعض الأحيان
I love parties!,أنا أحب الحفلات!
i will do nothing bad,أنا غادي ندير ماشيشي حاجة
he cut himself when he was shaving,قطع نفسه عندم كان يحلق
That's surprising!,هاد المفاجأة!
agadir is cold,غادير بارد
we like to be like him,نرغب أن نكون مثله
Are you going to take the car on your way out?,هل ستأخذي السيارة في طريق خروجك؟
I dare you to not  slide in snow,تحداك أن لا تنزلق في الثلج
how was your weekend?,كيف كانت عطلتك؟
He is married to a lawyer in Tangier.,هو متزوج من محامي في طنجة
jump a line,قافز ليا خطا
that volcano will errupt,راه راه راه راه هادشي
this place is no good,هاد المكان غير صالح
Have you tried give back the money you borrowed,عندك جرّبت نردّي ليا المال ديال ديالك
Are there chickens there too?,هادشي ديال ديال هادشي؟
i'm at my uncle funeral,أنا عند موتة عمّي
is that it?,هادشي هادشي؟
i have no effort,ماعندي جهد
we need to make sure,مانحتاجه نتاكد
we meet at university,إلتقينا في الجامعة
what are you talking about?!,ماالذي تتحدثون عنه؟
I know I'm really amazing.,أنا أعرف أنا بزّاف جدا.
you should never revise before exam,مابغيتيش تراجعي قبل إمتحان
yes straight,هادشي باش بزّاف
lets go back to home,غادي نرجع ديال ديال ديارك
How unfortunate!,يالسوء الحظ!
come with me,تاتي معي
not the same,واش بزاف
a band thief robbed,سارق سارق
This is the kind of day we would've preferred not to get up in the morning,هاد هاد نوع اليوم كنا نفضّل ألا نستيقظ في الصباح
Maybe later,راه لاحقا
I'll be all alone in a strange country.,أنا سَأكُونُ كُلّ وحيد في a بلاد غريبة.
If we survive maybe we can get back home early,لو بقينا على قيد الحياة، فربّما نتمكّن من العودة لدارنا في وقت مبكّر
whatever happen ,ماكان ليحدث
you say what i told you,كنت تقول ما قلت لك.
i want you to join our academy,مابغيتيك أن تنضمي لدارنا
you parents will tell you what to study after bac,واك سيخبرونك باش تدرسي بعد بزّاف
i told you to shut,قال ليك غادي نغلق
Don't lower your level,مابقيش تاخدّر مستواك
i think this is our last time,غادي نضن هاد آخر وقت لنا
this is my middle boy,هادا ولدي الوسطي
 you are too late to leave this none sense,واش تتأخري بزّاف تاركة هادشي بزّاف بزّاف
i need to send it to the man,مابغيتيش نرسلها ليا رجل
I don't care about anyone,أنا لا أهتم باش واحد
you should never interact with me,مابغيتيش تتفاعلي معي
he run in his blood,راه في دمّه
Don't stutter,واش ماشي تازر
I dare you to postpone the RDV,تحداك تا غادي تاخير ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
"Share with us, we would keep noting ideas. ",واش نتشارك معا، وابقى ندوّن أفكارا.
you are too late to give yp,تاخرت بزّاف باش تعطّل ليا
she stayed silent a bit,كانت تصمت بزّاف بزّاف
"You get the sauce, now",واش باش باش باش باش بزّاف
I think of going in bus,كانفكّر بزاف بزّاف
i just wanted to help,مابغيته هو المساعدة
That will be my last word,هادشي هادشي ديالي
We will need to rely on my phone,غادي نعوّل على هاتفي
no you take the whole week,مابقيتيش تاخد كل مافيك
Or you could have something else,واش عندك شي آخر
Yes,راه
how to do,كيف ندير
there is no tax,ماشي ضريبي
I thought he'd be younger...,كانضنت باش يكون صغير
Have you tried to annoy young kids,عمرك جربتي كي تزعجي الاطفال الصغار
what should we focus on for lawyer's exam,واش نركّز على إمتحان المحاماة
Maybe find a river,ربّما نجد نهرا
my famillie are waiting for me,راه ماميليا بزّاف بزّاف ليا
let me sleep now,خلّيني ننام الآن
I'm organising the big event in London next week,أنا نحسّن الحدث الكبير في لندن الأسبوع القادم
it got forced upon us,راه غادي على حسابنا
if only I could fish a big fish,كون غير قدرت نصيد سمكة كبيرة
anti-Trump,معادي تروم
I am an existentialist,أنا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
I am not sure anyone was there,أنا مانعرفش كانو هادشي
its been  a while i didnt go out,راه بزّاف باش ماخرجت
is there someone in the city,واش شخص ما في المدينة
lets keep watching them,خلينا نراقبهم
I get it,هادي هاد
i will scream to this boys,أنا غادي نصرخ على هاد الولدان
you too best wishes,واش تمني ليك
black,"لونالخط="" # FFFF00""الزوار"
i will hit him someday,أنا غادي نضربه يوم واحد
i do anything in mind,واش ندير فيك شي شي حاجة
i still cant believe it,مانزال مانزال مايصدقها
don't shame us,مابغيش عارنا
she cant go out now,مانستطيعش تخرجو بزاف بزّاف
don't leave him alone,واش ماتركتيه
i will play,أنا غادي نلعب
he is proud of his culture,راه خادير ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالك ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
score and play well and be weary of counters,و نسجل ونلعب جيدا و نحسس من العداوات
we are trying to raise awareness,كنّا نحاول نزيد من الوعي
i will cme and will tal kto you,أنا غادي نا غادي نديرك
her familly is rich,ديالها غاديّة غاديّة
It's the backwards world.,هاد هو العالم الخلفي
And of course the hawks come for the pigeons,وطبعا الصقور جاين لحمامات
i ate in car,واش تاكل في سياره
are you new sis,هادشي ليك ليا بزّاف
We have no way of communicating with anyone,ماعندنا مانستطيع نتواصل مع اي واحد
you are devious,كنت غادّر.
I have,كان ليا
i didnt open them,مابقيت نفتحها
beside her,غاديها
what do you do,ماشي عاينك
do you know where we are ?,واش تعرف اين نحن؟
work take all my time,راه ديال ديال ديال ديال ديالي
she is engaged,هي خايفة
send them this,نرسل لهم هاد
You don't want to be the head of the government,مابغيتيش تكون رئيس الحكومة
if only I could  be angry at him,كون غير قدرت نغضب منه
I think of invite him,كانفكّر بدعوته
what's the first song that comes to mind right now?,هادا الأغنيّة الأولى التي تراودك الآن؟
can you play against this team,يُمْكِنُ أَنْ تَلْعبي في هاد الفريق
i have two earings,عندي قرينتين
speaking to mom,نتكلّم مع أمّي
Can I talk to you tomorrow to complete the organization?,واش نكلمك غادي نكمل ديالك؟
will we keep talking in the streets,غادي نكمل نتكلّم في الشّوارع
she will be present with her husband,غادي تكون مع زوجها
he is shy from girls,راه خايف من البنات
she is unpredictible,واش غير قابل للتوقع
the food got spoiled,واش تا غادي غادي غادي
don't say that,مانوقول هادشي
you should never get along in the class,مابغيتيش تاكون في الصف
Don't jinx him,واش نحسّش عليه
okey jumb in the car,واش غادي بزّاف في السيّارة
i said it implicitely,أنا قلتها ليا بزّاف
hows your family,كيف حال عائلتك؟
i'm gone,أنا غادي غادي
But you had a difficult meeting,لكن كان عندك اجتماع صعب
I dare you to sit on this camel,تحداك تجلس على هاد الجمل
i don't know why the phone is hanging up,مانعرفش علا التليفون علاّق
you will suffer with him,غادي تعاني منه
i came to morocco many times,جِئتُ إلى morococo عدّة مرات
 you are too late to peel eggs,واش تتأخري بزّاف بزّاف بزّاف
Ducks - I prefer them in the pond than on my plate!,ديال داك أنا أفضلهم في البركة على صحني
money,راه
 you are too late to have a phd,فاتك بزّاف بزّاف بزّاف بزّاف
i didnt understand,مابقيت غير مفهومة
I dare you to refuse this contract,تحداك باش ترفضي هاد العقد
i wil ldare you to go outside,غادي غادي تا غادي تخرج
i went to library to buy new bag,ذهبت إلى المكتبة لشراء كيس جديد
if only i could construct,كون غير قدرت نبني
 you are too late to ask about the problelm,غادي تتأخري بزّاف باش تسألي عن هاد اللبابة
your car has no problem,ماشي مشكلة بسيارتك
Bad luck.,واش حظ
I'll have some more if you want,أنا غادي ناكل بزّاف إن أردت
The main challenge in feeding ducks lies in throwing the bread to different places so that even the smaller ducks get some too,تحدّي رئيسي في غذّي البطّ يكمن في رمي الخبز في أماكن مختلفة كيّا حتّى البطّ الصغيرة تحصل على بعضه
i brought a kilo,جَلبتُ بزّاف
My shoe is uncomfortable,بزّاف ليا غير مريح
We could use the holiday money we've put by?,يمكنا نستعمل مال العطلات الذي وضعناه؟
keep stalking me,باش تلاحقني
there's plenty of room!,هادشي بزّاف غادي غرفة!
rarely when he move,واش مايتحرك
i said its impossible,قال لي ماشيش
i will not flatten your tires,مابغيتش نحسّن بزّاف بزّاف بزّاف ديال بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف
"But at the same time, being away from the earth, without gravity, it's different",و لكن في نفس الوقت، البقاء بعيدا عن الأرض، من دون جاذبية، هو مختلف
no one is available today,ماتبقى منا اليوم
forgive me i did speak with you badly,غفري ليا غادي تاكلّمت معك بزّاف
I just proposed one that's it,أنا فقط اقترنت واحد هادشي هادشي
He is gambling again,راه يقامر مرة أخرى
i make stories up,أنا اختلق الروايات
i will do some surf,غادي ندير بزّاف بزّاف
Where will they spend their honeymoon?,واين يصرفو ديالهم؟
I just came back from manufacture,أنا فقط عُدت مِنْ التّصنيع
I will reduce the price for you,أنا غادي نخفّف السعر لك
say something nice,قولو شي شي حاجة
arabs are reunited,راه راه معاك
"OK, I've pressed it and there is no sound. Shall we try shouting?",واش غادي غادي و ماشي صوتش نجربو الصياح؟
Put the bottle on the table,وضِعْ القنينة على الطاولة
what have you decided,راه ماقررتيه
No garlic,بلا ثوّم
just leave me her,فقط اتركيها ليها
I dont think he will die praying,مانضنّا مانضنّي غادي يموت يلهّو
if only I could fix the sink,كون غير قدرت نصلح المغسلة
and one you pass on her,واش غادي تمري عليها
I know a very good recipe for garlic soup which uses forty cloves,أنا أعرف وصفة راهية جدا لشوربة الثوم الذي يستعمل أربعين قشرة
this is hard was he is passing through,هادشي بزّاف ديال ديالي
what you want to drink,مابغيتيش تشربينه
why not?,واش ماشي؟
you dont have to talk to me,مابغيتيش تكلّميني
"this is my phone, not yours",هاد هادي تليفوني، ماشي ليك
this dog is friendly,هاد الكلب هادشي
i will arrange a good price,أنا غادي نرتّب سعر جيّد
what do you do there,واش نديرو هادشي
why you blocked me,علاش سدي ليا
he found a beautiful girl,هاد ليه بنت جميلة
I'm waiting for you to tie rope,كانتسنّا بزّاف ليك بربطة الحبل
tell people the truth,قل للناس الحقيقة
Do you think of propose my idea,مافكّرتيش تقدّر ديال ديال ديالي
why are you thinking so much?,علاش تفكّر بزّاف؟
the wifi isnt working,واش هاد الواي ديالي
this person is unknown,هادشي غير معروف
I dont think he will protect you,مانضنشش ليحميك
its bad to have an expensive perfum,سيّد بزّاف بزّاف بزّاف بزّاف
are you not advisable,مابغيتيش مابغيتيه
if only I could  interract with you,كون غير قدرت نتفاعل معاك
this is when we study,هادا الوقت ندرس
there is stuff to talk about,هادشيش اشد شي نتناقش عليه
i was never  bold enough to tell you this,ماكنتش غادي غادي نجيبك على هادشي
dont bother yourself just relax,مابغيتيش تاخدش
you will stay like this,واش ستبقين هكذا
this boy is cute,هاد الولد هادشي بزّاف
I'm waiting for you to get a hit ,كانتسنّا بزّافك باشّاف
I want to travel but I have so much in my head,مابغيت نسافر ولكن كان عندي الكثير في راسي
i will gamble on this game,أنا غادي نقامر على هاد اللعبة
who is absent,راه غير موجود
why the looks,علاش هاد المنظر
Not all of your answers were entirely relevant,ليس كلّ إجاباتك كانت ذات قيمة كاملة
my hand is numb,يدّي خسّرت
and you if you want,و أنت إن أردت
i need to see a nurse please,أنا بحاجة لرُؤية مريّة من فضلك
i think if the boys are resting,مانفكّر لو كان الأولاد يرتاحون
without cutting your hair,بلا شوية شعيرك
it will become clean,راه غادي ينظف
he died drowning,ماتو يغرق
just me,أنا غادي
she trust everything she heard,واش تثق كل شي سمعو
the car has arrived,السيّارة وصلت
that's enough,هادشي كافي
I was born in Agadir,أنا ولدت في أغادير
help your brother,شيّد ليك
can i try them,قدرت نجربهم
you  need to market it,مانحتاجي لتسويقها
remember when we thought high school was the toughest thing ever?,تذكرين عندما كنا نفكر أن المدرسة الثانوية كانت أصعب شيء على الإطلاق؟
he went and never back,ذهب و لم يعد
its far from the high school,بزّاف بزّاف من المدرسة الثانوية
he plays in professional match,راه يلعب بزّاف بزّاف بزّاف
it repeated in my brain,كرّر ليه في مخي
I'd like to speak to your boss,أود أن أتحدث مع رئيسك
you jump,غادي تقفز
i always tell you you are lame,أنا دائما مانقول ليك ليا غادي
one white,واحد بياض
you reached this thank to me,كنت وصلت هاد الشكر ليا
if only i divorced,كون غير قدرت نتطلق
I can't afford to change jobs at the moment or be unemployed,ما قدرت علاش نغيّر واش نغيّر في الوقت الحالي واش نصبح عاطلين
my friend knew and went to police station,صديقي عرف و ذهب لشرطة
you dont agree,واش ماتفقت عليه
i thought that this product have bubbles,كان ليا فكرة أن هاد المنتج ديه فقاعات
why you dont wanna get a taxi,علاش مابغيتيش تاكسي
Not so good.,غير جيّد بزّاف.
i bought fries,شريت بطاطس
I was happy to argue with you,كان ليا غادي نتناقش معاك
how she had a microbe,كيف كان عندها ميكروبات
i didnt dine,ليت ماعشّيت
you make perfect tea cutie,تَجْعلُي تاشا ممتاز
be quick with hom,راه بزّاف
Why did you give it to Loubna earlier?,لماذا أعطيتيها للوبنا قبلا؟
I'm just an employee among others,أنا مجرّد موظّف بين الآخرين
my brotehrs laughed,راه ليا ديال ديال ديال ليا
try calling you friends,واش نضربك بزّاف
help the guy gather thrash,هاد ليا راجل يتجمعو
they are not doing so well,هادشي ماشيتا ديال بزّاف
he send them via post,واش يرسلو ليا بزّاف ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
I have,كان عندي
what is your question?,ما هو سؤالك؟
i don't know where to start,مانعرفش من اين نبدا
you should never aim at someone with this rock,مابغيتيش تشوفي ليا غادي هاد الروك
it looks worse,راه راه
 you are too late to return the goods,تاخرت بزّاف لتعود بزّاف بزّاف
we took breakfast outside,فطرنا خارج
It's been ten years,مر عشر سنوات
I'm gonna travel next week,أنا غادي نسافر الاسبوع المقبل
why you did bring her here,علاش تاتي بها هنا
You don't want to argue with him because he's so stubborn,مابغيتيش تجادلي معه لانه عنيد جدا
you go right,واش تهدر ليا ديال
second,راه
it has just run out of battery,هادشي بزّاف بطارية
My brother's wife gave birth to a girl.,زوجة أخي ولدت لفتاة
I will come now. My outfit is cleanly pressed. ,أنا غادي أتي الآن بزّي بزّاف بزّاف
leave it to god,خليها لله
are you a fan of trying new foods or sticking to favorites?,هل أنت معجب بتجربة أطعمة جديدة أم بزّاف؟
do you mean you're struggling to sleep or that you're sleeping too much?,ماتعنيه أنك تقاومي لتنامي أو أنك تنامين بزّاف؟
"Hey, how was your day?",كيف كان يومك؟
i have no where to go,ماعندي ولااين ندير
you are too late to gaze on the sea,غادي تاخرت بزّاف على البحر
i won't let anyone to get between us,مابغيت غادي نمشي بينا
wear and dress nicely,راه و زيك راهيان
this talk stay between us,هادشي هادشي بزّاف بينّا
i work with them,أنا أعمل معهم
you should never make a good price,مابغيتيش تقدري بزّاف بزّاف
we are poor but thankful,نحن فقراء ولكن شاكرون
this will make me a scandel in the country,هاد هاد هادشي ليا ماسحة في ديال البلاد
you should never go this way,مابغيتيش تا غادي تا هادشي هاد الطريق
this dinner got cold,هاد العشاء بزّاف
an elecricity pill fell ,واش سكريّة خسّرت
we grew up with leftovers,ترعرعنا مع البقايا
E-mails will do.,الإيميلات ستفي بالغرض.
i quite understand,هادشي بزّاف
what emoji do you use most often?,واش ديال ديال ديال ديالك بزاف بزّاف؟
this game was fun,هاد اللعبة كانت ممتعة
Fair enough,حاور بما فيه الكفاية
Europe was at war,أوروبا كانت في الحرب
what do you wanna say ?,واش مابغيتيش تقول؟
you should never settle down for less,مابغيتيش تستقر بزّاف
you still have time,مازال عندك وقت
With spent the evening talking. ,واش غادي ندير معاك
