Original Eng,tgt,src
you can see who is losing,كيني كاتشوف شكون كايخسر,I can see you and I can see you
I get on a plane every week,كانركب طيارة كل سيمانة,I could fly all week
it's only in morocco,راه غير فالمغرب,The way is not the way of the West
your food is organized,ماكلة ديالك مسيانة,I'm sorry
what did you do,أش درتي,I'm on you
just want quality,غير بغيتي الجودة,I am not in my right
and change bulp color to white,و نبدل لون البولب لبيض,And change the color of the bulb to white
so happy for that,فرحان بزاف,Farhan Bazaff
Why don't you want to ask for money,علاش مابغيتيش تلبّي الفلوس,I just don't need the money
he told me to take 3 each day,قاليا نستعمل تلاتة نهار,The saying is we work every day
she is got no taste,ماعندها ماعندها ماذوق,"She's fine, she's fine"
I'm waiting for you to adress this to your parents,كانتسنّا فيك ت دير ليك هادشي لبارديالك,I thought you were late for something to do with me today
we have,عندنا,We have
i'am coming,أنا جاي,I'm on my way
you should endure to be rewarded,خاصك تحمّل باش تفرج,You're too late to see
Talk isn't what will console you.,الحوار ماشي هادشي لي غادي يريحك,Sunday is not going to be my day
i will cry,أنا غادي نبكي,I'll talk to you
the truth was there from day one,راه كان فيها الحقيقة من نهار واحد,The way was the truth from the only lunch
Have you tried object to a regulation,عمرك جربتي تعرض على شي لواحد لقانون,You have to try to get me something for the law
i was scared my parents were strict,كان خايف من الواليد كانو قاسيان,I was afraid of the birth and it was too hard
I feel like the staff aren't too many of them,كانحس بلي العاملات ماكايش بزاف,I was feeling the factors that made me feel better
i will stay just in here,أنا غادي نبقى غير هنا,I'll be here
the situation is not good,الحالة ماشي مزيانة,The situation is not so bad
I dont think i will put the phone in my bag,مانضنش غادي نضع تليفون ف ساك,I'm sure I'm going to put the phone in your hand
tasteful harira,الحريرة مزيانة,The harryara is beautiful
if only I could buy tasty liver,كون غير قدرت ن شري ليك لبدة مزين,I can 't wait to see you again
if only i went to lunch,كون غير قدرت نمشي نتغدا,Being unable to grow and grow
They're nesting over there and it looks as if the babies will hatch out soon.,راهو كايسدّو فداك لور و كايبان ليا غادي يخرجو دابا,Rahu Kaiddu has your daughter and Kaiban to go to the Dabba
last time you saw him ,آخر مرة شفتيه,Last time I saw him
I'm waiting for you to stop this from coming,كانتسنّا فيك ت تبعد هادشي منّا يجي,We were told you could keep this from happening
marry for clothes,تزوّج للباس,Get the bas
i took my dog to doctor,هادي كنت هبت الكلب ديالي عند طبيب,That's how you've been to the doctor's club
I left him!,خليت عليه!,I left him!
akcohol is forbidden,الكحول ممنوع,The whole thing is forbidden
sorry i did not remember you,سمح ليا ماعمركش,I can't live without you
i got the lesson,أنا لي درسي,I am reading
keep going,غير سير,Not on the move
"Well, that will give us a good basis to start with next time",واخا، غادي يدي لينا أساس زوين باش نبداو بيه المرة الجاية,"Wow, we'll be back with you next time."
i want to sell a product,بغيت نبيع شي منتج,I want to sell some product
we had better alert our families,كانفضل لينا نخبر العائلات,We were lucky to have the family news
so I encourage you in this path!,داكشي علاش أنا كايشجعك ف هاد طريق,I hope I can help you this way
what's your name,شنو سميتك,I heard you
What's the code for your credit card?,شنو كود ديال كارتك ديال اليكريديت؟,Did you find your card code for electricity?
you put a lot of efforts for me,كترتي ليا بزاف,Thank you for your help
you should never buy expensive goods,عمرك ت شري شي سلعة غالية,You are old and share a few things
glasses are useless,الكاسيل ماعندوش فاش كايسالي,The castle is not as bad as it is today
what's your favorite type of dance?,اشناهيا نوع ديال الرقص لي كايفضل ليك؟,I'm learning a dance style I'd like for you?
he'll be eaten by rats,غادي يكلو الفئران,I'm going to get the elephants
I live in Lebanon,كانعيش في لبنان,He was living in Lebanon
sit get some sun light,ڭلس نضرب شمش,Don't just go out and see the sun
its been 10 years i went outside morroco,هادي 10 سنين و مشيت خارج المغرب,She's been out of the country 10 years.
you need to fix you hand,خاصك تبرز ليا يدك,I'm going to get your hand
i'm the new house wife,أنا المراجلة الجديدة,I am the new widow
he retired,راه تقاعد,Way to retire
you are too late to revise your lesson,تعطلي بزّاف باش تعاود درسك,Give me a little more of your lesson
we dont control ourselves,ماكانحكموش راسنا,I didn't get you to know us
this strategy gave its fruit,راهبت هاد الاستراتيجية,I've come up with this strategy
it's the first time I speak with you,أول مرة كانهدر معاك,First time he didn't see you
i found the store closed,لقيت المحل مسدس,I found the place with a gun
what i make on the web,شنو كانقايد ف شبكة,Shono was probably on the network
I am from the U.S.,أنا من أمريكا,I am from America
i will not get along with bad people,مابقيتش باغي نتعامل مع ناسّ خايبين,I'm not going to try to deal with other people
you look like an actor,كايباني على الممثل,I'm going to the same place
 you are too late to split the heritage,تعطلي بزّاف باش تقسمو الواليد,Give me the gift of the birth
i will vandalize this car,أنا غادي نقلب هاد طونوبيل,I'm going to take this to a wedding
i will go now,أنا غادي نمشي دابا,I'm going to walk around now
I could get you some drinks for them in the meantime,يمكن ن جّي ليك شي مشروبات,Can you live for a drink?
the engien shouldnt overheat,ماشي خاص ليه ماكانش,Nothing special for him
We may not have the same operator.,إمكان ماغاديش يكون عندنا نفس المدير.,Could it be that Maghdeesh has the same manager?
don't do like that,ماتديريش هادشي,That's what you are.
I want to be a professor,بغيت نكون أستاد,We want to be a teacher
Don't do a felony,بلا ماتقدي شي جريمة,"Without you, there's a crime."
its nice,زوين,My wife
But ok,ولكن واخا,But he will be fine
youa re,نتا راج,Not a king
sound good?,كايبانو مزيان؟,Can I get some?
I saw a monkey,شفت القردة,Shaft al-Qardha
time's up,الوقت فرا,Time is running out.
the flat is good,دارنا مزيانة,We have a great time
It allows you to understand the present and prepare the future as a student of the past.,كايخولك تفهم الحاضر وتعدّد على المستقبل بصفتك طالب ديال الماضي.,How do you understand the present and plan for the future as a student of the past?
i showed her photos,شفت ليها صور,Sheft for her to take a tour
come on!,أجي!,Come on!
i hear some knocking,كانسمع شي طرقة,I heard you say something.
i will eat a bit of sauce,غانطعم شوية ديال الصوص,I'll eat some of the salus
I zoned out,راني كنت نزل,I was going to be a little late
solve your own problems,حل مشكل ديالك,Solve your problem
dont pray on them,ماتعجبهم,What do they like?
we are different,راه مختلفين,Different ways
sit here and relax a little bit,ڭلس هنا و راتاح شوية,We're here and we're here for a little bit
who has the penal code,شكون لي عندو لقانون الجريمة,I'll have a criminal code
you should never improve this country,عمرك ت حسّن هاد البلاد,Your age is a touch of this country
I like his face shape,عجبني شكل ديال وجهه,I love the way he looks.
what are you celebrating,أش كيدور,I'm here to help
if only i bought ticked,كون غير قدرت ن كري تيكيت,I can't make a living
dont curse,ماتعنيش,What do you mean?
Can we do this close?,واش نقدرو نديرو هادشي قريب؟,Are we getting close?
the police sent a team to spy on me,البوليس مبعوثو واحد الفريق باش يسبيو عليا,The police are the only one who can save Aliya
i was at country house,كنت ف الدار ديال البلاد,I was in the country's capital
Talk in balance,هدر معاك,He is with you
I thought he bother you,كان كيسحاب ليا غادي يزعجك,There was no one to please you
why you dont wanna dont stress up,علاش مابغيتيش تبرز,Allas there is no more to be found
They said he did beat a cat.,قالو بلي ضرب واحد القطة,They said multiply one cat
why do you ask?,علاش كتسول؟,Is that what you want?
they asked you about what,سوالوك على أش,I'm asking you
Stop making noise. You are annoying us,بلا ماتبقى كايدير لينا,No more than one more thing to do
I dont think i will get mad at you,مانضنش غادي نتزعج عليك,I'm sure we'll be able to make you feel better.
go with me step by step,سير معايا خطوة بخطوة,Sir معايا خطوة بخطوة
its not good to go prison,ماشي مزيان باش نمشي للسجن,I've been out of the way to heaven
And I might just forget what you just said about my credit card.,و أنا إمكان نسا غير شنو قلتي ليا على بطاقة الائتمان ديالي.,And I can't hear you say that on my credit card.
"It's stupid, it's too fat and too salty.",هادشي سخف، شحال و شحال و مالحة بزاف,"That's a lot of fun, and a lot of fun."
she is respected,راه محترمة,That's my way.
i will supervise a construction project,أنا غادي ن زير شي مشروع ديال البناء,I'm going to look at some construction project
I'm waiting for you to be surprised,كانتسنّا فيك ت تفاجّه,We could have been able to surprise him
i will never call you,ماعمرني نعاود نعيط عليك,I'm living with you again
i made my ddream come true,راني كنت حلمي,I was dreaming
He doesn't know telling a lie,ماعارفش كادوي كدب,I don't know if I'm a dog
Let me take a risk.,خليني نستاهل,Let me get you
I don't know why I'm telling you this.,ماعرفتش علاش كانڭوليك هادشي.,I don't know why I was doing this to you.
i'm too mad,أنا غاضب بزاف,I'm too mad
dogs are better than cats,الكلاب أحسن من الكط,The best of the best
nothing happened,ماعمرات,Mother of God
no problem another time,ماعندك شي مشكل,There is nothing that is not working
I love reading poems,كايعجبني نقرا القصيدة,How can I have a piece of the poem
Yes my honeymoon has changed my life,آه شهر العسل ديالي غير حياتي,Ah the city of the Al-Salih
And there's no big world of interest,و ماكاينش عالم كبير ديال المهتم,And I never knew a great man of the world
i made my daughter sleep,درت بنتي نعس,That's how I got up
my eyes hurts,عيني كايجرحني,I'm looking for a cure.
i will not watch over your children,مابقيتش باغي نعتبر ولادك,I'm not your child.
i will make ways with good and bad,أنا غادي نخرج مع الخير و الخايب,I'm going out with the good and the bad
Good night,ليلة سعيدة,Good night
how to do wirhout you,كيفاش ندير بلا غيرك,How do we live without you?
she became irrespectful,راه غير غير غير معاك,The way is not the way is not the way
weekly,كل سيمانة,Every week
well arranged,مزيان,I'm having fun
if they drink leave him be,إيلا شربو خليوه,I'll have some more of this
when we were agreeing with each otherf,ملي كنا فاشي,We were together
you did speak to someone of them ,واش حدبتي مع شي واحد منهم,Wash your love with one of them
I know I couldn't.,عارفة ماقدرتش.,I knew you didn't.
"Come on, I'll press.",أجي، غادي نضرب.,"Come on, we'll get some more."
if only i solved this problem,كون غير قدرت ن حل هاد لمشكلة,Being unable to solve this problem
you should never quit your project,عمرك ت تخلّص من المشروع ديالك,Your life is on the line
she wants to say something,بغا تقول شي حاجة,You will say nothing
i'm happy for you,أنا فرحان ليك,I'm happy for you.
mark this tree,مارك هاد الشجرة,Mark this tree
Have you tried to produce this kind of oranges,عمرك جربتي تخرج هاد النوع ديال ليمون,Your age is up to you to get out this kind of lemon
i want to have social securtiy,بغيت نعاودني على الأمن الاجتماعي,I want to be back on social security
Oh look I can't wait till you catch him,أوه شوف ماعنديش نتسنّا ت قديّو,Oh see what we have done now
You should ask for a glass of wine.,خاصك تلب شي كاس ديال النبيذ.,Especially if you need some sort of wine.
pancakes should be well made,البنكي خاص تكون مزيانة,Banking is special to be fun
I'm going to work in Chanel and resign from this rotten food job!,أنا غادي نخدم ف شانيل و نستقال من هاد الخدمة ديال الماكلة,I'm going to serve in the hospital and get out of this restaurant service
i thought that he got in prison,كان كيسحاب ليا غادي يخرج فالحبس,He was a friend of mine and he was going to go to jail
you sleep to much,كاتعسّي بزّاف,I'm a little bit down
he will not stay for long time,ماغاديش يبقى بزاف,Magadish stay long
I dont think i can expect something bad fom you,مانضنش غادي نتوقع شي حاجة خايبة منك,I'm sure you'll be waiting for something to come from you
you office is messy,مكتبك مسخّس,Your office is in order
second half we should have possession,نهار جوج خاصو نمتلكو,We don't have any specials
I'm waiting for you to refuse the invitation,كانتسنّا فيك ت رفض ديك دعوة,We were told you could not accept your offer
i thought that he will sleep there,كان كيسحاب ليا غادي يسيطع فداك,He wanted me to understand your situation
this is only fate,هادشي غير القصير,This is not short
you should never do this to your fingers,عمرك دير هادشي ليا ب إصبعك,Your age is too late to get you out of here
he went,مشا,Mesha
they're cutting down the trees,كايقطرو الشجرة,How do you cut the tree?
when you put it on your hand,ملي كايحطها على يدك,I found a way to get it in your hand
good morning girls,صباح الخير البنات,Sabah Al-Khair Al-Nath
you are too late to bring him with you,تعطلي بزّاف باش تجيبو معاك,Give me the best time to be with you
It was so awful I don't know where to start!,كان مزعوم بزاف ماعرفتش منين نبدا!,It was so hard to know what to do with you!
i did nothing to you,ماكرت ليك تاح,I never saw you again
what book do you read,أشنو كتاب كاتقرا,The book is written and read
my wife health is getting bad,را زوجتي كايزايق,I'm a widow now
i stayed with her until she gave birth,بقيت معاها حتى ولدت,I stayed with her until I was born
he made us angry,راه كايخسرنا,There is another way
"Have a good trip, too",سفر مزيان، حتى نتا,"A pleasant journey, even now"
does your family practice any unusual traditions?,واش عائلتك كايعمرو شي تقاليد غير عادية؟,Has your family done something unusual?
i hope i travel,كنتمنّا نسافر,I used to travel
nothing is harder for me,ماكاين شي حاجة أصعب عليا,I never saw anything more difficult than this
I'm gonna have breakfast now,أنا غادي نتفوج دابا,I'm going to talk to Dad
relax ,راك راسك,Thank you very much
"South America was really interesting, different from home",أمريكا الجنوبية كانت ممتعة بزاف، مختلفة من دار,"South America was so much fun, different from the dar"
"Yes, it's true that bike rides are very vulnerable in the city!",آه، صحيح بلي ركوبات على دوك الدراجات كايكونش عرضة ف المدينة!,"Ah, yes I can ride on your train so I can be in town!"
slap him,ديك لور,I'm going to tell you
You don't want to tackle this player,مابغيتيش ت تلقّي هاد لعب,Don't you just get out of this game?
I would not be a good chef if salt was necessary!,ماغاديش نكون شيف مزيان إيلا كان ضروري الملح,Magdish would be the chef if it were not for the need
yes I turned off my phone,آه أنا سدّيت تيليفون,"Ah, I'm on the phone."
he wants to sell it,بغا يبيعها,She's going to sell her
where did you take yet yesterday,فين درتي البارح,I'm going to the party tomorrow.
this is strange,هادشي غريب,This is a strange thing
better,مزيان,Pleasant
everything can be changed,كولشي ممكن يبدل,Anything can change
Gosh!,يالله!,Oh my God!
you are too late to buy a jalaba,تعطلي بزّاف باش تشري جلبة,Give me the badge and buy the badge
It says one of the best cream sweets for me ,كاتقول واحد من أحسن الحلوى ديال الكريم,Katقول is one of the best of the world
a big politician,واحد السياسي كبير,The only political big
i did go to take the delivery you give me,مشيت نجي ليك ديك ليكوم لي عطيتيني,I want you to come and give me your life
i will calculate the subscribers,أنا غادي نحساب ليكم لي كاتسبون,I'm going to count for you some cats
good bye my brother,معاك أخي,I'm with you
are you ready,واش نتا على درجة,Wasn't on the scale
i will join you,أنا غادي نعاود نعاوني معاك,I'm going back to help you.
my brother married yesterday,خويا تزوجت البارح,I'm married yesterday
speak in a respectful manner,وكلّم ب شكل من الحرام,And speak in the form of a reverence
the game was intense from start to finish,الماتش كان شديد من بداية حتى آخر,The battle was fierce from the beginning to the end
they come from her side*,كايجيو من جبهتها,How do you live in the world?
i will follow the robber,أنا غادي نتبع داك اللصوص,I'm going to follow your advice
as for classical one,وبالنسبة ليكلاسيكي,And for the classic
You know what?,عارف أشنو؟,Do you know what you're doing?
this is weird,هادشي غريب,That's weird.
he is almost done,راه تقريبا كايدير,It's almost as good as any.
i have allergy,عندي الحساسية,I have a feeling
why you want my picture,علاش بغيتي تصافي,Alلاش without you being made up
just looking for a payment,غير كانقلبو على شي دفع,I was not looking for a thing
we can do with rent money something,نقدر نديرو شي حاجة ب الفلوس ديال اللايج,We can't see you any more than you can see
"Plus, my new neighbors are weird.",زيد، الجيران الجدد ديالي غريبين.,"Also, the neighbors are poor these days."
this time you exagerate,هاد المرة كاتفرّط,This time I'm too busy
i'am not  in the mood,ماعنديش مزاج,I'm in a good mood
you are powerless,ماعندكش قدرت,I don't have the power
follow this rule,تبّع هاد القاعدة,Follow this rule
Let me blow up,خليني نفجر,Let me out of my way
You don't want to follow your parent's advice thus you're a bad boy,مابغيتيش تبع نصيحة ديال الواليدات ديالك باش تكوني ولد خايب,You must not follow the advice of your parents or be a child of the devil
if only i mind my business,كون غير قدرت ن تهزّ ليا بزّاف ديال هادشي لي كاتسالي,Be unable to speak to me so much of this
he's being very brave,راه شجاع بزاف,Way to be brave
bring to you,جيب ليك,I'm going to pick you up
I dont think he will forsake his sons,مانضنش غادي يخلّا ولدو,I thought I would let him have my baby
it's hard emotionally,راه صعيب عاطفيا,That's a good thing
to forget,باش نسا,"Boss, please"
i'm only cleaning it,أنا غير نخلّس,I am not a rescuer
"Bon appétit, of course!",شهية زوينة، طبعا!,"Shea, of course!"
nice to meet you,فرحان معاك,Farah is with you
ionly know seriousness,وكل واحد عارفة,And we all know
what are you doing here,أش كادير هنا,I'm waiting here
do you remain a lot,واش كتبقى بزّاف,Wash the book and stay very busy
Without turning left.,بلا ما تدور على يسار.,No turning left.
to be pregnant and to give brith,باش تكون حاملا و تفرز,Start getting pregnant and having children
I was looking at them,كانقلب عليهم,He was looking for them
skip everything,تفوت على كلشي,You've lost everything
there is noo need to upset,ماشي حاجة تبرزق,Nothing you need to say
You don't want to ask money,مابغيتيش ت طلب فلوس,You don't want to ask for more
Congratulations on your graduation,مبروك على التخرج,Welcome out
What time does the movie start?,شحال من ساعة كيبدا الفيلم؟,How long before the movie starts?
my grandma died too,جدتي ماتت,My grandmother died
"Yes, a good cup of coffee will do me great.",آه، كاس ديال القهوة غادي يجعلي مزيان.,"Ah, a cup of coffee will make me more comfortable."
she stole my car,سرقة ليا طونوبيل,A robbery for a town
cut with knife,قطع بسهل,Certainly
you should never predict the outcome,عمرك ت توقع على نتيجة,Your age is expected to be a result
they can advise me,يقدر يڭاوحني,He can live
smile for the camera,إهلا كاميرا,Is there a camera?
i'm head over heels for you,أنا راسك فدوق ليك,I'm sure I'll buy you a book
your thongue will make you trouble,لسانج ديالك غادي يخلّي عليك المشاكل,"Don't worry about it, it will relieve you of your problems."
come exercise with me,أجي تمرين معايا,I'm coming to see you
tell me true words,ڭول ليا الكلمات لي كايكون,Just get the words for me to be with you
Have you tried to marry an ugly girl,عمرك جربتي تزوج شي بنت قبيحة,Your age is so long that you marry a tribal girl
I don't have an ennemy,ماعنديش عدو,I'm not going to help you.
you look good together,كتربان زوينين معا,See you two together
go hit him in the face,سير و درّو ف الوجه,Go around and see the world
you will work Saturday morning,غاتخدم نهار السبت صباحا,Not on the Sabbath morning
a good people,ناسّ زوينين,People are dead
when she went she asks no more,منين مشات ماكاتلبش,I'm not going to say anything.
write your name in a paper,كتب اسمك ف شي لوراق,Write your name on your lips
you know nothing,نتا ماعارف والو,I don't know what's going on.
"Uh... actually, I have a problem, boss...",آه... بالواقع، عندي واحد المشكل، رئيس...,"Ah... actually, I have one problem, President..."
stop arguing,ماتبقاش تناقش,You've never discussed
this is diaster,هادشي دياستر,This is my day
He wants something,راه بغاه شي حاجة,There is no need
living peacefully,ياكما عيشو ب سلام,Yama haiba.
god is helping you,الله كايساعدك,God help you
"and this is what you have done, you left me on seen",وهادشي لي درتي، خليتيني على لور,"And you have given me, you have left me"
can we talk about how the music from our childhood will never get old?,واش نقدرو نتناقشو كيفاش موسيقى ديال صغرتنا ماغاديش تسنّا؟,Did we see how old our music is and why did we get so bad?
do you agree,واش كايقبلو,Wash and take
Just round the corner,غير ف الزاوية,Other than the
we need to start our project today,خاصنا نبداو المشروع اليوم,We're going to start the project today.
i thought that  he swam in the beach,كان كيسحاب ليا غادي يسبح فالبحر,There was a love for me that would swim the sea
the building has fallen,الدار كحط,The matter is
Let's get out of the room quickly!,يالاه نخرجو من هاد الغرفة بزربة!,Yallahi let's get out of this room now!
say again,قولي مرة أخرى,Say it again
when i scored  didnt you get shocked ,ملي درت ليك لعب ماعجبكش,I found you a game you don't have to play
why are you messed up,مالك مسخوب,Your money is broken
its just bullshit,هادا غير هادي,That's not that
Have you tried understand this lesson,عمرك جربتي تفهم هاد درس,Your life is about understanding this lesson
you are disappointing,راك كايخيبة لمل,You're not going to get out of here.
one thing that I didn't like,واحد حاجة ماعجباتنيش,There is only one thing I like
if only I could lend you but i dont have any money,كون غير قدرت ن سلف ليك ولكن ماعنديش فلوس,I can't see you but I can't get any money
i thought that he will publish his book,كان كيسحاب ليا غادي يخرج كتابو,If there were any love for me he'd go out and write
with shorts,مع شورت,With Short
he is my classmate,راه صاحبي فصلي,My friend please
The television is not working,التلفازة ماكاتخدمش,The only thing that is not working
i'm not focusing well,ماكانركزش مزيان,I was not a fun worker
my body is bruised,لاشي كايبقى كايبقى كايبقى,There is no such thing as a living thing
I can't see the light.,ماكانشوفش الضوء.,I couldn't see the light.
if you dont find wait,إيلا ماكتشوفي تسنّا,I can't see you today
he looks like a serious men,كايبان على راجل جادي,Howban on Rajal Jade
all men have rested,كولّا رجالي راتاحو,All my friends
if only i showed you the way,كون غير قدرت ن دير ليك طريق,Being unable to keep on the way
the remaining days are scarce,الأيام الباقين قليلين,The days are few
i will not give it attention,ماغاديش نتهد ليها,Magadesh is not dead to her
He was born in Africa,ولد ف إفريقيا,A child of Africa
you are too late to get thechange,تعطلي بزّاف باش تلقّي ليك,Give me too much to take you out
from now on i will be beside you,من دابا أنا غادي نجي عندك,From now on I will come to you
do you want to have witnesses,واش بغيتي شي شهود,Wash without a shredder
you should never pretend,عمرك تندم,You are so old
Which country do you like?,أشمن بلاد كيعجبك؟,Am I not your friend?
he's going for a bike ride,غادي يخرج على ديكر,You'll be out for a day
Where is the post office?,فين كاين البوسطة؟,How are you doing?
speak of the devil,قولي على الشيطان,Tell me about the devil
"Anyway, how was your day?",على كل حال، كيداك نهارك؟,"Anyway, you still have lunch?"
I will pay you back,أنا غادي نرجع ليك,I'm going back to you
Ali wants a glass of water,علي بغيا كاس ديال الماء,I'll have another cup of water
Get well soon,تخلص من علاك بزرب,Get rid of your badge
even if i'm sick i cook for my family,حتى و أنا مريض كايبدا ليا عائلتي,Even if I get sick I'll live with my family
good scent,ريحة زوينة,A great rest
i put it in mosque,أنا دخلتها فالمسجد,I entered her in the mosque
my head hurted like crazy,درت ليا راسّي بحال شي واحد,Dart to restore me to one thing only
I dont think i will fake the tourath,مانضنش غادي نخلص داك تورات,I don't think we'll ever get your torat
take your car to the machinist,سيفت ليك طوموبيل ليك,Safe for you and your car
i think if he broke his car,تانفكّر واش خرّس ليه طوموبيل,Think about the washing up for your car
raise that boy like your child.,تربّي داك ولدّي كبارك,My father bless you
forget him,نساهو,No one is here
he is the silent type,هو نوع ديال هاديك,He's the kind of guy who's been
I dont think i will fix the cake,مانضنش غادي نخرج ليك كيك,I thought we'd go out and see you.
did you forgot ?,واش نسيتي؟,Was you a woman?
I throw it and I weaken the fire. As if it's boiling I move it away ,كانلقيه و نضفّع ليه النيران كمان كايبخير و نديها,He was a good man and we made him a good man and we saw him
my mother winged me,ماما كايهزني,Mama is here
we should think about the table,خاصنا نفكرو ف الطابلة,We're thinking about the table
all this because of you,هادشي كولشي نتي ليك,That's what I found you
he isnt even well behaved,ماعندوش حتى مزيان,I'm not going to be able to enjoy myself
she is weird,راه غريبة,It's a weird way
what has changed,اشنو تغير,I've changed my mind
the city suits you,المدينة كايعجبك,The city needs you
against us some neighbor,ضدنا شي جيران,against us are the jiran
you eat a lot,كاتكولو بزّاف,Talk to me like this
I will open the door,أنا غادي نفتح الباب,I'm going to get the door
you bought it,شفتيها,She's got her
the swimming pool is heated,البيسين داكشي سخون,The bassinet is so good
you won't see my face in house,ماغاتشوفيش وجه ديالي فدار,Magathishovish face of the day
I'am the fool who bring you here,أنا هو الغبي لي جيبك هنا,I'm the one who's gonna get you here
I'm going to choose between a caftan and a Takchita.,غادي نختار بين كافتان وتكشيتا.,I'm going to choose between coffee and eating.
I've met some gold-diggers in my time there,تلاقيت شي كاسّي ف زرين فماكلة لي كنت فيها,I have seen a few things in my life
okey give me a smile,واخا عطيني إبتسم,Whackha give me the rest
i don't like you,ماعجبنيش,I don't like him
how do you handle food allergies when dining out?,كيفاش كايعالج الحساسية ديال الماكلة فالعشا?,How do I deal with the essence of the food of the study?
this land is of my aunt,هاد البلاد ديال ختي,This country is mine
Have you tried do a similar research,عمرك جربتي دير شي بحث بحال هادشي,Your age has brought you back to this discussion
"But, you know, sugar isn't very good for dogs.","و لكن, كاتعرف, السكر ماشي مزيان بزاف للكلاب.","But, you know, sugar is too expensive for kids."
I dare you not fall,نتحداك ت ماتسقّط,What are you doing?
i think you mistaken them for someone,كانضن بلي غلطتي ليهم شي واحد,I guess I got them one thing
this chair practical and comfy,راه مابقاو هاد الكرسي مبرّا و مبرّا,Keep this chair open and open
happy holidays,عطلة سعيدة,Happy holidays
if only i stayed at home,كون غير قدرت نبقى فدار,I can't stay here
we didnt finish work,ماكملناش الخدمة,We have not completed the service
i think if i broke a bone,تانفكّر واش نقتسر واحد العود,Think about what we have left to do
"So, it's good?","إوا, واش مزيان؟","Eva, is it fun?"
Did you see if your phone picked up the network?,واش شفتي واش تيليفونك كايجيب ليك ليك الشبكة؟,Did you wash your phone and get the network?
"no, it's TMAX LOL",لا، راه تماكس,"No, there you go."
avoid groups,ماعندكش الجمهور,I don't have the crowd
she want you to beg her,بغات فيك ت تطلب ليها,Without you asking her
i have no will,ماعنديش إرادة,I don't want to study
i will invest on this person,أنا غادي نستمر ف هاد الشخص,I'm gonna keep this person up.
I'm waiting for you to sell the house,كانتسنّا فيك ت لبّي ليا هاد دار,We were always looking for you in this house
do you have change for  ?,واش عندك شي فاصيل؟,Do you have any more?
I am a christian,أنا مسيحي,I am a Christian
I have never,ماعمرني,What's life
you are too late to  to win,تعطلي بزّاف باش تفوز,Give me a little more fun
you will never get married,عمرك ت ت تزوجي,You are getting married
without any problems,بلا شي مشكل,Nothing is difficult
i'm unlucky,أنا ماعمر,I'm alive
he likeds to play with us,كايعجبو يلعب معانا,How about we play with him?
organize your time and multitask,تبرّق وقتك و تفرّق فشي,Take your time and be different
I'm waiting for you to attend to a meeting,كانتسنّا فيك ت حاسّ ليا شي لقا,We were just trying to get you to do something different.
 you are too late to ask for retirement,تعطلي بزّاف باش تلبّ لترح,Give me the boost and ask me to go
i will not stutter,مابقيتش باغي نحدق,Keep me busy
i will well elevate my sons,أنا غادي نربي ولادي,I'm going to take care of my son
u dont feel like driving,ماكايحسش بالتوڭيل,I never thought of that
we still late,مازال معطلين,Still suspended
thank god,الله يعطيك الحمد لله,Allah bless you
why you dont wanna  bring breakfast,علاش مابغيتيش تجيب ليا الفطور,Allah has left me no suggestion for my al-Futhar
be good to him,كوني مزيان معاه,Have fun with him
I think of faceing him off,تانفكّر واش نقابلو,Then think of washing our face
"Remember, the last time, she had declined",تذكّر، آخر مرة، رفضات,"Remember, last time, you refused"
That's a problem,هادشي مشكل,This is hard
you should have taken her with you,كان عليك تحملها معاك,You should have taken it with you
Did you mean umbrella?,واش درتي على المظلة؟,Are you on the shelf?
you're very smart,نتا فاقد بزاف,There's not too much left
And I'm talking about essential oils.,و أنا كانهد على زيوت الأساسية.,And I was on the basics.
No thank you.,لا شكرا.,No thank you.
you need to respect the law,خاصك تحترم القانون,You love the law
I'm waiting for you to appreciate money,كانتسنّا فيك ت تقدّم الفلوس,We could have made a donation
don't say you haven't finish yet,ماتڭولش بلي ماكملتيش,You are not alone in this world
you need a beating,خاصك تلقّي,Especially your order
more than that,غير هادشي,Not in this way
he is an exceptional doctor,راه طبيب غير عادي,The path to a doctor is not common
i will do something,أنا غادي ندير شي حاجة,I'm going to do something.
clean will your skin,غايبغي ليك البشرة,I'm not going to see you
Let me review this movie,خليني نراجع هاد الفيلم,Let me see this movie
this drunk is scaring me,هاد المشرب كايخافني,This is the only wine I've got
he is tired ,راه عيان,On my way
when did you get married,فاش تزوجتي,What are you doing?
this is too much for you,هادشي بزّاف ليك,That's too much for you
we will be on good terms,غادي نتقاو,I'm going to meet you
i work here,أنا خدام هنا,I am here
"I would go for a lie down to calm down a bit, but I see the cat is on the stairs",كانمشي نڭع ليه باش نسترجع شوية، ولكن شفت ليا قطة ف السلالم,"I wish we could get back a little, but I found a date in the world"
she was accepted in teaching position,قامت بيها في منصب ديال العاودة,She is in the position of Dial Al-Awooda
i changed my clothes,غيرت حوايجي,I'm not happy
have you ever been late,عمرك تعطلي,Your age is too old
do you want me to keep going or just be quiet,واش بغيتي نستمر ولا غير ساكت,Wash without rest and without rest
I dare you to balance between responsabilities,نتحداك ت توازن بين المسؤوليات,We are balancing the responsibilities
Don't stop him from going out,بلا ماتمنعيه من الخروج,No one is forcing him out
I don't mind having a dog with us,ماعنديش مانع يكون عندنا شي كلب,I won't stop us from having some kind of club
we studied this,قريينا هادشي,We read this thing
