Original Eng,Translated AR
go no one is holding you,سير ماكاين واحد يديك
we didnt find the graveyard,ماكاينش لقينا القبرة
I was fine until you saw your head,كنت مزيان حتى شفتي راسك
the bride isnt worth it,العروسة ماشي لي تستاهل
i dont know if he is upset,ماعرفتش واش هو كايعجبني
I need to save up enough money to go there,خاصني نجمع ليا فلوس باش نمشي ليك
wake up now,فاقا دابا
it is on the first floor,راه ف الطابق الأول
your tongue is long a little bit,لسانك طويل شوية
Don't go to police,بلا ما تمشي ل بوليس
 you are too late to close them,تعطلي بزّاف باش تسدّهم
fridge is empty,فرج فراش
thats why i saw nothing,داكشي علاش ماشفتو شي حاجة
is my father still here,واش بابي مازال هنا
i want to refurnish my house,بغيت نعاود نعاود نعاود نعاود نعاود نعاود لدار
i will not maste my time,مابقيتش باغي نستمر ف الوقت
But you must respect that new deadline,ولكن خاصك تحترم هاد الموعد الجديد
you should never stay still,عمرك ت تبقى هاديا
The weather report has begun,البلاغ ديال الجو بدا
you draw well,نتا راك مزيان
my mom and dad are divorced,الواليد و الواليد طلاقو
Why dont you want to take your phone in the water,علاش مابغيتيش تدي تيليفونك ف الما
he has good gradings,راه كايجيبو درجات زوينة
no one asked about me,تا واحد ماكنتش سائل عليا
he always gets you the best adviced,ديما كايجيب ليك أحسن المشورة
Would you like to leave a message?,بغيتي ت تترك شي رسالة؟
no I'm just home now,لا أنا غير دار
"what do you consider your greatest strengths as a player, and how do they benefit the team?",أش كتعتبر أكبر نقطة القوية ديالك فالموسيقار، و كيفاش كايفيدو للفريق؟
i want chicken please,بغيت دجاج عفاك
I called a taxi,عيطت على تاكسي
did you get paid,واش درتي ليا
remember when we'd challenge each other to see who could hold their breath longer?,عندك فاش كنا نتحداو بينا باش نشوفو شكون كانقدر يحتجز نفسّو؟
from makeup store,من محل ديال الماكياج
i cooked it,أنا كنت طابتها
don't go unoticed,بلا ما تمشي بلاصتي
which model do you have,أشناهيا نموذج عندك
Keep the cat out of the way!,سدّا للكات من طريق
i thought that he will follow the thieves,كان كيسحاب ليا غادي يتبع هاد اللصوص
I'm thinking when the results of this exam will be announced.,تانفكّر إمتا غادي يعلن عن نتيجة هاد لامتحان.
wear the best thing you have,حط على أحسن حاجة عندك
you complain a lot,نتا كتهت بزاف
i'm afraid,أنا خايف
may God protect your loved ones,الله يحمّل ليكوم لي كيعجبوكوم
Have you tried build a company,عمرك جربتي تبني شي شركة
I'd rather go out and enjoy the water and freshen up,أنا كنفضل نخرج نتمتع بالماء ونتعافو
I'll get the racquets,أنا غادي نجي نجمع راكيت
take care of your son,هادي ولدك
my cousin will marry,خويا غادي يتزوج
"I am a single daughter, pampered by her parents. ",أنا بنت غير غير متواحدة، كاتشربها الواليد
 you are too late to exhange the award,تعطلي بزّاف باش تفرج ليا هاد الجائزة
if only i lost weight,كون كون غير قدرت ن تخسّر
the window in wgite,فين تفرج
It's raining,كاتمطر
Our fries are delicious,البطاطا دياليين
i thought that he will  sned his friends,كان كيسحاب ليا غادي يخرج ليه
god is great,الله كايعزّ
she don't  complain,ماكايتشكّر
twenty to,عشرين من هاد لور
what did she say,اشنو قالات
he married in discrition,تزوج بحد
Why dont you want to mix these two machines,علاش مابغيتيش ت خلّط هاد جوج ديال الماكينة
my son didn't visit me,ولدي ماشي زيرني
open you mouth,فتح فمك
do you want to leave ,واش بغيتي تمشي
Let me leak the exam,خليني نسرق ليك المتحان
I think I came from that way,كانضن بلي جيت من هاد طريق
i hate jam,كايكره ليا ديم
what wil you do in diner,أش غادي دير ف العشا
Arctic ocean,المحيط الشمالي
this city seems romantic,هاد المدينة كاتبان رومانسية
i will talk to a cop,أنا غادي نتكلم مع شي شرطي
I'll get the peppers ready and take a picture of them,غادي نستعد الفلفل و نلتفو عليهوم
i'am confused,أنا مخرب
i haven't eated my lunch,ماكلتش الغدا
you don't like it ?,ماعجبكش؟
"The kids are fine, thank you",الدراري بخير، شكرا
im looking,أنا كانقلب
i'm going to eat,أنا غادي نتأكل
he has dates,عندو الموعد
Let me ask you,خليني نسولك
i'm confused these days,أنا مشوش هاد الأيام
he gamble,راه كايقمر
I cut onions,قطعت البصلة
I don't eat well anymore,مابقيتشكل مزيان
ask her,سوليها
look who is calling,شوف شكون كايعيط
i used on all of them,أنا كليت كلشي
i have a bad autoimmune,عندي لمرضي ديال المناعة
i think too much,كانفكّر بزّاف
tell him he came,قوليه يجي
you should never accuse them,عمرك ت ت تلومهم
you are too late to bring me back home,تعطلي بزّاف باش تجيبني لدار
we are gonna fill everything and call you back,غادي نملو كولشي ونعاودو
he wanna meet you,بغاو يتلقا معاك
one girl,واحد البنت
Hasna is Karim's mother,حسنة هي ماما ديال كريم
Is there something bothering you?,واش كاين شي حاجة كاتزعجك؟
I will keep trying and trying until you know. ,غادي نستمر نعاود نجرب و نجرب حتى تعرف
this one is good,هادشي زوين
we will finish early today,غادي نخلصو بكري اليوم
He is thirsty,راه عطش
hide him all togerther,خبي عليه كامل
I'm waiting for you to lower the price of entry,كانتسنّا فيك ت نزّل من لفرصة ديال الدخول
he goes to another countries,كايمشي بلاد أخرى
she thinks a lot,كايفكر بزاف
stay at the croisma,تبقى ف كرويسما
to next year,حتى العام الجاي
My mental state is shattered.,حالتي العقلية مسخرة
I'am in holiday,أنا ف العطلة
me and my friends are crazy,أنا و صحابي كايخسرو
i need to pack  my luggage,خاصني نجمع ليا الباراج
don't open the door,بلا ماتفتح الباب
save money,حفر فلوسك
The test of your seminar will be when you have to fly back!,إمتا امتحان لسمينار ديالك غادي يكون فاش خاصك تفرج لور
clap for him,صبّقو
shut up,سكت
sleep and shut up,ناعس و سكت
if only i went to school,كون غير قدرت ن ندوز لدار
I understand you,فهمتك
he's not patient,ماكاتحملش
Go ahead a bit,سير شوية
you dont remember,واش ماكانتش كاتتذكر
we will visit a beach city,غادي نمشيو لشي مدينة ديال البحر
you are no longer my brother,مابقيتش خويا
It's all right.,هادا لا
you are old in this house,نتا مسن ف هاد دار
he went abroad,مشا لبلاد
when you need to marry ,ملي خاصك تزوج
I find them cheap and I did bought them,لقيتهم رخيصة و شريتهم
he will have consequences,غادي يكون عندو عواقب
what do you think makes you unique?,أش كايبان ليك كايعطي ليك واحد؟
we could bring what you want,إمكن نجي بيك لي بغيتي
doesnt speak slow,ماكايحضرش معاك
You go.,سير.
he wont take the motobike,ماغاديش يدي موتور
i love how restaurants set the mood with dim lighting and soft music,كايعجبني كيفاش ريسطو كايديرو لينا المزاج ب ضوّر و موسيقيّة
my colleagues,الزملاء ديالي
easy peasy,هاديك هاديك
personally I don't have it,شخصيا ماعنديش
i will bring girl and party,غادي نجيب ليا بنت و حفلة
i came back,راني رجعت
Will you pass me the salt please?,واش غاتعطيني ليمر عفاك؟
all day he thinks,نهار كامل كايفكر
where to find him,فين نلقاوو
we learned a lot from this match and will use it to improve in the future,تعلمنا بزاف من هاد الماتش و غادي نستعملو باش نطورو ف المستقبل
if only I could turn off my phone,كون غير قدرت ن سدّي تليفون ديالي
my place is here,بلاصتي هنا
not easy,ماشي سهل
I need a job fit of my reputation,خاصني خدمه لي كايتناسب بسمعة ديالي
he will never be good,ماغاديش يكون مزيان
Face the wall,وجهك لدار
I think go through this place,تانفكّر واش نمشي لهنا
when did you have your dinner?,إمتا عشتي العشا؟
another time,مرة أخرى
Forget it,نساه
You don't want to sabotage your work,مابغيتيش ت تخرب الخدمة ديالك
Do you want a scarf?,واش بغيتي شي سكاراب؟
no one know this,تاحد ماعرف هادشي
i will save my money,أنا غادي نخرج فلوسي
i thought that he will get the best mark,كان كيسحاب ليا غادي يلقاه ليا أحسن علامة
Have you tried to predict something which happened,عمرك جربتي تنبّأ شي حاجة وقع
I understand now.,فهمت دابا.
I don't like music,ماعجبنيش الموسيقى
I have exam tomorrow,عندي امتحان غدا
I dare you to  ask about this,نتحداك ت سوّل على هادشي
blow my mind,فجر ليا عقلي
his phone isnt working,تليفونو ماخدامش
I never spoke and you listen to me,ماعمرني قلتي و كاتسمع ليا
this will be a proper moroccan meal,هادشي غادي يكون واحد الماكلة المغربية
They will hold the aqiqah in the hall.,غادي يديرو الأقصة فالقاعة.
he will be there,غادي يكون غادي
divorce me,طلق عليا
what do you want to say,أش بغيتي تقول
are you okay ,واش نتا بخير
Nobody is helping us,ماكاين واحد كايعاوننا
how did you manage,كيفاش درتي
Have you tried to continue your education,عمرك جربتي تستمر فادراسة ديالك
when do you rest,إمتا كايسناك
why you dont wanna clean your face,علاش مابغيتيش تخلص وجهك
we need to buy books,خاصنا نشري الكتوب
But I still hear them,ولكن مازال كانسمعهم
no it's close,لا قريب
if only i shot him,كون غير قدرت نقتله
i thought that he will buy a ticket,كان كيسحاب ليا غادي يشتر شي تيكة
you need to change the car,خاصك تبدل طونوبيل
Have you tried to add too much sugar,عمرك جربتي تزيد من سكر بزّاف
this food is for entire month,هاد الماكلة ديال شهر كامل
how could you believe this,كيفاش قدرتي تصدّق هادشي
i was expecting this day,كان كان نتوقع هاد نهار
I will dance like a fool,أنا غادي نرقص بحال الحمقى
You're the boss!,نتا هو البوز!
they study only at home,كايقرا غير فدار
she is sick god help,راه مريضة الله يافقها
if only i did my research,كون غير قدرت ن بحث فشي حاجة
"yes, she's here",آه، راه هنا
why you dont wanna object,علاش مابغيتيش تعترض
what you have there,أشنو عندك تما
the board is unclear,لبرطة ماكتفهمش
i'm crying,أنا كانبكي
you baby sitting them,راه بيبي كايجلسي عليها
"I've been quite depressed, and they affect my memory badly and make me very sleepy",كنت مكتئب، و كايعطي ليا الذاكرة و كايجعلو ناعسة بزّاف
i think if i could see another doc,تانفكّر واش نقدر نعاود نشوف طبيب آخر
he was annoyed,كان كايزعج
Are you going to wear a princess crown?,واش غادي تلبس تاج ديال البارزية؟
maybe some archery or silly dancing,إمكن شي طيارات ديال قوسة و إيلا كان كان كايرقصو
i will tell you what to do,أنا غادي نڭولك أش دير
you are too late to outrace him,تعطلي بزّاف باش تبرّع ليه
i was hanging clothes,كنت كانعلّق لحوايج
religiously gambling is haram,من ناحية الدين القمار حرام
tea kettle,تاهاي
what do you want again,أش بغيتي مرة أخرى
I bought a shirt,شريت شي قميص
Pirates are the best,القراصنة أحسن
he is living aboard,راه كايعيش فالبور
no one knows who did it,ماكايعرف شي واحد شكون لي درتها
just what do you tjink,غير شنو كايدوز
you should never throw glass,عمرك ت تلقّي على شي كاس
they will take it,غادي يديروها
When will you be back from that mountain?,إمتا غادي ترجع من هاد الجبال؟
she looked at me 5 minutes,كاتشوف فينا خمسة دقايق
Do you feel better?,واش كتهسّي?
you are snorting,راك كاتحشّر
time is tight,الوقت قيس
Were those sports shoes?,واش كان هادوك الأحذية الرياضية؟
he is addicted to playing,راه مدمن على لعب
i bought my friend a golden bracelet,شريت لصحابي واحد الدراري
I wil give birth soon,أنا غادي نولد قريبا
he add me in facebook,وديتني ف فايسبوك
"More importantly, one day we were out. ",الأهم، واحد نهار كنا خارجين
id rather eat my proper food,كانبغيك تكل ماكلتي لي خايب
i need to cut my hair,خاصني نقص شعري
where did you get,منين جبتيه
i would love to  stay here forever,بغيت نبقى هنا لفترة
I learned turkish from movies,تعلمت التركي من الأفلام
the corner kick presented an opportunity for a goal,ركل ديال زاوية كانوفرصة باش نلقى لفرقة
even if its not his,واخا ماشي ديالو
we are coming all to you,غادي نجي ليكوم
come I want to cry,أجي نبكّي
Have you tried to work,عمرك جربتي تخدم
i went back to attend to cemetry,رجعت ل لبارح لحفلة
how I'am gonna go,كيفاش غانمشي
I will tell them I love them,غادي نڭولهم بلي كنبغيهم
why you dont wanna knock on door,علاش مابغيتيش ت طوق على الباب
thats me and your grandad,هادي أنا و جدّك
any day you want,أي نهار بغيتي
i want to hear a nice word,بغيت نسمع شي كلمة زوينة
But how could we not turn off the fire alarm with the smoke,ولكن كيفاش ماكانقدرش نطفّو ل للامان ديال الحريق ب دخان
"Ok, I'll have the fish and chips for starter and I'll get the burger later!",واخا، غادي ناخد البحر و شيفس باش يبدو و غادي نحضر لبرغر من بعد!
where is the seamless,فين كاين هادشي لي ماخايباش
if only I could eat praying,كون غير قدرت نكل فالصلاة
I will keep this with you ,أنا غادي نحتفظ هادشي معاك
Would you like an orange juice?,بغيتي عصير ديال ليمون؟
i run before,كانجري قبل
i'am  close to home,أنا قريب من دار
i forgot him,نسيتو
you should never manufacture useful sthing,عمرك ت دير شي حاجة مفيدة
the bus is abour to leave,الوبيس غادي يخرج
where are you goinf,فين غادي
take your money and go,خدي فلوسك و سير
what happen to your hand,أش وقع ليك ليدك
go stand with him,سير تقف معايا
I need a belt,محتاجة بنطرة
no one knows that he drinks,تاحد ماعرف بلي كايشرب
she slapped him,طربات ليه
Africa has 53 nations,أفريقيا عندها 53 دولة
We'll meet new people there.,غادي نتلاقاو مع ناس جدادين غادي.
you can come whenever you want,إمكانك تجي إيلا بغيتي
i will not go to you to beach,مابقيتش باغي نمشي ليك عند البحر
from before,من قبل
from before my parents want to take me to doc,من قبل من والي كانبغيني يديرو ل طبيب
I'm aware that the problem requires a thorough reflection,أنا واعي بلي المشكلة كاتطلب تفكير كامل
those face,هاد وجه
beautiful feeling,حس زوين
how much is this book,شحال كايكلف هادك كتاب
to stay put,باش تبقى بلاص
this is frightening,هادشي كايخايفني
is there the director,واش كاين هاداك المدير
go catch him,سير تسربو
first thing I do,أول حاجة كايديها
she gave me her number,عطات ليا نمرها
I took this paper from administration,خديت هاد الورقة من الإدارة
Don't buy the perfum,بلا ما تشتر داك العطر
why you do like that,مالك كايديرو داكشي
i dont need help from anyone,ماكانحتاجش أي واحد يعاونني
i suffered to make you a men,أنا عانيت باش نجعلك رجلا
Or should I say that you make them make!,ولا نڭول ليك نتوّر ليهم!
i think if he tried this place,تانفكّر واش جرب هاد البلاصة
She doesn't want to lose anyone of them.,مابغاتش تخسر تا واحد منهم
I dare you to win a lot of money,نتحداك ت ربح بزاف ديال فلوس
Where the art and the cathedral are located.,فين كاينين الفن و الكنيسة.
i was looking down,كنت كانشوف ليا
do you remember when i failed one year,علاش تذكّريني ملي فشلت واحد عام
let's eat,أجي نتعشا
i thought that he will make his clothes,كان كيسحاب ليا غادي يدير لحوايج
you know how to speak,كاتعرفي تكلم
I dont think you will get  convocated,مانضنش غادي تلقاك ليا
"Hi, I'd like something strong, please.",سلام، بغيت شي حاجة قوية، عفاك.
I'm sure you're doing the best you can,أنا متأكد بلي كادير مزيان
Don't bring him with you,بلا ماتجي معاه معاك
help me,عيطني
when will you appreciate me,إمتا غادي تقدرني
The probability of finding ruins on Mars is indeed small,احتمال ديال لقاو تدمير على المريخ صغير بزّاف
you should never go in a boat,عمرك ت دخل فبارك
they speak english mostly,كايهدرو ب لغة
i am starting work soon,أنا غادي نبدا الخدمة قريبة
i drove too well ,راه كنت كانشطت مزيان
if he knew,كون عارف
people,ناس
the whole ball of wax,الكورة كاملة ديال الششم
that's what I told you,هادي لي كنتي قلت ليك
What went on at work in the end?,أش دخل فالخدمة ف النهاية؟
in case of stopping the elevator between floors,فحال إوقف لسانسور بين الطوابق
i found good places,لقيت شي بلايص زوينين
she been well educated,كانت مدرسة
Will you get me something from the shop round the corner?,واش غادي ت جيب ليا شي حاجة من المحل؟
we just started,باش بدنا
"Yeah, it's good to do something other than watching TV",آه، مزيان دير شي حاجة غير تفرج ف التلفازة
i find comfort in the lyrics of certain songs during tough times,كايجيب ليا العافية ف شي أغنيات فوقات صعيبة
go walk its healthy,سير صحي
did you sleep N,واش نعستي
how marvelous,كيفاش زوينة
"I'm not sure, actually","أنا ماكنطيقش, في الحقيقة"
"he who wants something, Will achieve it",شكون بغاي شي حاجة، غادي يجي ليها
Thanks!,شكرا!
i washed clothes this evening,غسلت الحوايج هاد العشية
don't think this way,بلا ما تفكر بهال هكا
give me a ciguarette my brother,عطيني شي جوبريت أخي
it's less than 5 dhs,كايكمل من 5 درهم
we need to finish our exams first,خاصنا نخلصو لامتحانات أولا
"I have to leave now, because the next class starts in one minute!",خاصني نخرج دابا، حيت الدورة الجاية تبدا من دقيقة!
this contract is a winning one,راه هاد العقد كايربح
without taking a picture with him,بلا ما تسوّر معاه
you are very late,تعطلي بزّاف
go watch over them,سير شوفي عليهم
You can't be serious.,ماكونوش مقصود.
he wants he heritage,بغا يتيح ليه التراث
I don't see any drawbacks to use the stairs,ماكانشوفش شي نقص فاش تسبح لدرجات
this is a math problem,راه مشكل ديال ماتم
"I'll tell you one thing, I like it!","غادي نڭوليك شي حاجة واحدة, عجباتني!"
he hung a picture on the wall,دارفو على الحيت
i think of getting bored,تانفكّر واش نتعجل
this exactly what you have said,هادا بالضبط لي قلتي
i don't have right to ask,ماعنديش الحق باش نسول
you where are you going,نتا فين غاديتي
i lost in gamblign,خسرت فالمقامرة
the landlord want money ,صاحب الدار كايبغ ليه الفلوس
Have you tried hang your clothes,عمرك جربتي تشنق حوايجك
i'm with you,أنا معاك
I'm coming right now,أنا جاي دابا
Let me take my own decision,خليني نقترر راسي
we should play a match this evening,خاصنا نلعبو ليك واحد ماتش هاد العشية
i was scared,كنت خايفة
what are you doing there,أش كدير غادي
i will do a video,أنا غادي ندير شي فيديو
i will suffer in this lake,أنا غادي نعاني فهاد البحيرة
Have you tried pray in msella,عمرك جربتي تصلّي ف مسيلا
I was treating everyone very well,كان كايعامل مع كولشي بزاف
it's working until it's not,كايخدم حتى ماتساليش
this all a lie,هادشي كلهم كدوب
this business is not for me,هاد المشروع ماشي لي لي خاصني
i made a garden,درت حدائق
I am worried about my mother,أنا قلق على ماما
did you rent,واش كريتي
they need time to know each other,خاصو يدركوش ليهم
we need to help each other,خاصنا نصدو بعضنا
you should never improve them,عمرك ت تطورهم
I think if im going on the right path,تانفكّر واش أنا كانمشي على طريق الصحيح
marriage is stable,العرس مستقر
she is loking for rent,راه كايقلب على الكر
god is greater,الله أكبر من هاد العائلة
"Sorry, I didn't catch what you said ",سمح ليا، ماصقيتش هادشي لي قلتي
she will upset with you,غادي تندم معاكوم
we are eating dinner outside,كناعشا ف الخارج
I still didn't get paid,مازال ماعنديش الفلوس
the school is so far,المدرسة بعيدة
i love watermelons,كايعجبني البطي
its hard to find someone to love,صعيبة تجد شي واحد تقدر حبّاه
you go to sleep,نتا نمشي نعس
tomoato are expensive,توموتو غالين
people are skeptical,الناس كايشكو فشي حاجة
you just order me,غير راك غير كتأمرني
no much connection,ماكاين ليكس
but we already told our parents,ولكن مسيان قلتو ليهوم
goat's milk,حليب ديال الماعز
i called the cops they handled it,عيط ليا البوليس راهو خديو ليا
your kids are growing up ,ولادك كبرين
I came talk to you about our project,جيت نتناقش معاك على مشروعنا
he works a lot,كايخدم بزّاف
what you say is pointless,هادشي لي كاتڭول ماعنديش معنى
we see something in bm,شفتو شي حاجة ف بي إم
leave one for me,خلي ليا واحد
he is so capable,راه قادر بزاف
my grandpa is wise,جدّي حكي
lets drink coffee,يالاه نشربو القهوة
"As for the outside will be fine, I have an umbrella in case it starts to rain.",أما ديال الخار غادي يكون مزيان، عندي مظلة فحال بدا شي شتا.
you are too late to separate,تعطلي بزّاف باش تفرق
i'am not ready to marriage,أنا ماعنديش زواج
i will cause many problems,أنا غادي نخلّص بزّاف ديال المشاكل
it's all your fault,راه كلشي خطالك
words can't express what i feeling ,ماكانقولش كيفاش كانحسّ
i didnt do anything yet,ماكرت تا بحال
if only i draw well,كون غير قدرت ن رسم شي حاجة
try to focus on your project,عاود تبرّز على مشروع ديالك
god help you,الله يديك
i need to start from beining,خاصني نبدا من لور
of course,طبعا
i begin to know her very well,بدا عندي تعرفها مزيان
think well,فكّر ف هادشي
i dare you to teach your children,نتحداك ت درّس ولادك
where are my car keys,فين كاين ليا ليا المفاتيح ديال سيارتي
i was not thinking properly,ماكانش كنت كايفكر
the room is clean,بيت صافي
why are you not important to us,علاش نتا ماشي مهم لينا
I heared that he solde his house,سمعتو كايسدّ ليه لدار
The bride's mom invited us.,ماما العروسة دعونا
I think the co-workers called the police.,كاندير أنّ لخدمة عيطو على البوليس.
What does he do for work?,اشنو كايدير فالخدمة؟
did you eat fruits?,واش كنتي كليت شي فراك؟
You don't want to lose weight,مابغيتيش ت تفوت
i feel too cold,كانحس ب هاد البرد
don't you like those,واش ماعجبكش هادشي
this will not work,هادشي ماغاديش ينجح
"They're different sizes, colors and flavor",كايكونو درجات و لون و لذوق مختلفين
I think you have meet up,كانضن بلي تلاقيتم
be good to your firend,كون مزيان مع راسك
i'am always one step ahead,أنا ديما كايكون قدام
in miniso for 25dh,فمينيسو على 25 درهم
inevitable,ماعنديش
this is surprise,هادي المفاجأة
homie,راه لي كايبقى
i have no effort,ماعنديش جهد
Aren't you hot?,واش نتا ماشي سخون؟
I am allergic to,أنا حساسية ل
okey let's start,واخا نبداو
But I haven't got time to tell you why,ولكن ماعنديش الوقت باش نڭوليك علاش
let me go alone,خليني نمشي بوحدي
Can you call me back later?,واش تقدر تلقني من بعد؟
i was waiting for you to wakeup forever,كانتسنّا فيك ت فيق ليا فالعمر
this cafe is smoke free,هاد القهوة ماعندها دخان
im tired,أنا عيان
this is legal,راه مشروع هادشي
i will not follow my dream,مابقيتش باغي نتابع الحلم ديالي
Let's meet this evening,خلينا نتوافرو هاد العشية
if only I could  hate you but you are my brother,كون غير قدرت ن تكرهك و لكن نتا خويا
i dont like harrira in summer,ماعنديش حبّر فصيف
"We don't, according to them, responded to all their technical requirements",ماكناش، بحسبهم، ردنا على كلّ لمتطلبات التقنية ديالو
this mess is easy,هاد الفوضى سهلة
bring your memories back,جيب ليا ديك ليك فاك
i like work climate,كيعجبني كايخدم
you will be accepted in the job,غادي تقبل ليك فالخدمة
Almost every week for my work,تقريبا كل سيمانة فالخدمة ديالي
The neighbor's daughter is doing karate.,بنت الجيران كايتقدا الكاراته
I will take a taxi,غادي ندير تاكسي
i thought that fire will burn him,كان كيسحاب ليا غادي يحتسّن
good bye doctor,مع السلام طبيب
this place has no wifi,هاد البلاصة ماكايناش فايفايت
he rents tree of them,كايكري منّهوم شجرة
tell her im still late,قوليها مازال معطل
available,موجود
it wasnt ifficient,ماكانش كايبغاش
who sent them,شكون لي كايرسلهم
we waiting for you inside,كانتسنّا فيك فداخل
i don't want to cause you some problem,مابغيتش ندير ليك شي مشكل
Have you met anyone?,واش تلاقيتي شي حد؟
since she got married she stopped working here,منين تزوجات ماتخدمش هنا
Thank you for your invitation,شكران على دعوة ديالك
what did you follow in your study,اشنو درتي فالمقراعة ديالك
i believe in god,أنا كانصدق بالله
did you shop or not yer,واش مشيتي تلاقي
i'm proud of you daughter,أنا فخور بيك بنتي
he is at home,راه فدار
i like inviting people,كايعجبني نجي الناس
you are too late to do your research,تعطلي بزّاف باش تبحث
i wll go make  diner,غانمشّو نڭولو العشا
are you oing,واش غاتكون
do you have something less pricey (expensive)?,واش عندك شي حاجة أقل تكلفة؟
He really need someone,خاصو شي حد
Hi,أهلا
i think of them securing this place,تانفكّر واش هادوكي كايسّكّنو هاد البلاصة
what are the traditional clothing materials used?,أش كايستعملو ليا المواد ديال الحوايج التقليدية؟
Thank you!,شكران!
mosquitos come at night,الجوع كايجيو فليل
i swear to god,أنا قسم بالله
i'm putting effort bc you were the man,أنا كانحاول باش كنتي راك راجل
Look for the latest news. ,شوفي على آخر الأخبار
i think of drying my clothes,تانفكّر واش نسيخ حوايج ديالي
you should never improve this country,عمرك ت تحسّن هاد البلاد
you should never stop what you do,عمرك توقّف ف هادشي لي كادير
yiu are not normal,ياكما ماعندوش
Have you tried to have a box of food,عمرك جربتي تاخد شي باكسا ديال الماكلة
she made meds in soupe,درت دوا في حساب
i brought veggies,جبت الخضرا
she want to scam you,بغات تبغيك تفرق
I pay it my debt,كايدفع ليها ديالي
he works well,كايخدم مزيان
When will you get rid of this silly thing you have?,إمتا غادي ت تخلص من هاد الحاجة سخيفة لي عندك؟
i thought that he will take his sheeps out,كان كيسحاب ليا غادي يخرج لحوت
Let me jump,خليني نقّز
find an excuse,ياكما عارف ليا سبح
thanks the film is at 10pm,شكرا الفيلم 10 ديال العشية
who did this to you,شكون دراك هادشي
thank you for talking to me and settling my nerves,شكران على هدرتي معايا و تسلمتي معايا
if only I could heal,كون غير قدرت ن شفّي
i thought that he will inspire me,كان كيسحاب ليا غادي يلهمني
give me her money,عطيني فلوسها
the god 3atiq is bad,الله عطق خايب
This glue doesn't adhere to plastic,هاد اللصق ماكاتملش البلاستيك
Oh come on,أوه أجي
let it rest a little,خليها ترتاح شوية
we finished our discussion,درنا هاد المناقشة
I'd like to go for a walk,بغيت نمشي نمشي نتشوف
what this heat,أش هاد الحرارة
i didnt understand this film,ماكنتش فهمت هاد الفيلم
where are you,فين نتا
I have an assistant to do that.,عندي واحد المسافر لي يدير هادشي.
If we go for the walk now I will lie quietly by the pool for 30 minutes afterwards.,إيلا مشينا نتمشيو دابا غانستلق هاديك عند البيسين 30 دقيقة من بعد.
whatever was the answer tell me,شنو كان الجواب قولي ليا
you were lucky,نتا كنتي محظو
we won but the fans are happy,ربحنا ولكن الجمهور فرحان
I think a cup of tea would cheer me up,كانضن كاس ديال أتاي غادي يفرح ليا
the bertal is nice,البرتال زوين
they changed gouvernement radically,غيرو الحكومة بنسبة كبيرة
I'll go by train,أنا غادي نمشي بالترين
basket makes you taler,سلة كاتسخرك
"Ok, one coffee, two vodka shots and a Martini coming up",واخا، واحد القهوة، جوج ليرات ديال الفودكا و مارتيني جاي
are you waiting for someone,واش كنتي كاتسناي شي واحد
Do you not like dogs?,واش ماعجبكش الكلاب؟
I remember too,أنا زعما كانذكر
He yawned,هو شرب
I have to tell the school that I'm gonna be late,خاصني نڭول ليكول إيلا غانعطل
write a letter explaining,كتب شي رسالة توضح ليك
i tried but went to prison,عاويت و لكن مشيت ليا لسبينة
did you finsh your work,واش كملتي الخدمة ديالك
I would like to play football,بغيت نلعب كورة
he started now,راه بدا دابا
I'm waiting for you to understand me,كانتسنّا فيك ت تفهمني
you the one who wanted this,نتا لي بغيتي هادشي
i have my friend everywhere,عندي صاحبي فكل مكان
we will suffer,غادي نعاني
he is a bad ill ,راه مريض بزاف
can you talk about the strategies your team employed to exploit the opponent's weaknesses?,تقدر تشاورنا على الأستراتيجيات لي خدام ليكم باش يستغلو نقاط الضعف ديال لخصم ديالو؟
he drugged you friend,راه كايعقّد ليك صاحبتك
why you complain,مالك كايشكاو
you should never  flex on him,عمرك تفرق عليه
i went to the pharmacy to buy meds,مشيت للصيدلية باش نشري دوا
i will dance a lot$,أنا غادي نرقص بزاف
I was walking,كنت كانمشي
i will not forgive you,مابقيتش باغي نستغفر ليك
of 15 days they invited her,ف 15 نهار دعوها
i dont think they will come,مانضنش غادي يجيو
The car broke down so I had to leave it at the side of the road,توموبيل خراب فاش خليتها عند طريق
"what's more important, health or wealth?","شنو أكتر, صحة ولا لوزيان?"
isn't my right also,واش ماشي حقّي
"I know you have your computer with you, it's perfect.",أنا عارف عندك لكومبيوتر عندك، هو كامل.
your aunt will be with us,ختي غادي تكون معانا
if you are religious its sufficient,إيلا كنتي ديني كافي
century,القرن
all my family will gather for the event,عائلتي كاملة غادي تجمع لفلوس
i will change this number,أنا غادي نبدل هاد نمر
okey do it,واخا ديرها
i did a nice wedding,دارت عرس زوين
To your health,على صحتك
So you're a pescatorian?,إوا نتا شي واحد ديال البسكاتوريان؟
It's too late,تعطلت بزّاف
I'm in the gym,أنا فالصالة
if only I could reduce the price,كون غير قدرت ن تخفض ليهوم
invite guests,عاودو على ناس
put her in her place,خليها ف بلاصة
god take reveange from you,الله يخرج منك
remember that time we got lost on that road trip? good times,عقلي وقتا خلينا ف هاد رحلة؟
ground floor alone,فالقاع بوحدو
she is too kind,راه سخيفة بزاف
and you are watching her,و نتا كاتشوف فيها
Is she expecting to see you?,واش كانتّمنّا ت شوفك؟
