Original English,tgt,src
Let me go in train,خليني نمشي في سكّان,Let me walk in the house
do you have another one,عندك واحد آخر,you have another one
i want to live near the beach,أريد أن نسكن قرب الشواطئ,i want to live near the beach
i'm learning to cook international dishes,أنا أتعلّم لطهار الأطباق العالمية,I'm learning to clean the world dishes
I dont think i will organize my time like you,مانضنش غادي ندير وقتي مثلك,I don't think I'll be running my time like you
you should never wash your teeth,مابغيتيش تغسلي اسنانك,You don't want to brush your teeth
rent is 1000dh and up,واش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,"it's too much, too much, too much, too much, too much, too much, too much, too much"
I don't know how you trusted him,مانعرفش تاثقتي عليه,i don't know how to trust him
i'm comfy like this,أنا مستريحة هكذا,i'm resting like this
have some respect between us,واش بزّاف بينا,isn't it too much between us
she know she wont come back,علاعلمت هي مارجعت,i know she didn't come back
do it yourself,راه ليك,it's yours
thats not what we do,هادشي مانفعله,this is what I do
"Literally, his door is locked.",هادشي، بابه مقفل.,"that's it, his door is locked."
there is a huge improvement,هادشي باش بزّاف,this is too much
my car is broken,سيارتى مكسورة,my car is broken
the bank is closed,المصرف مغلق,the bank is closed
i'm goint to kitvhen,أنا غادي ندير,i'm gonna turn
try it,جربيها,Try it
Spit out your chewing gum! you know the school rules,سلّح علكة لدّك! تَعْرفُ قواعد المدرسة,you know school rules
"how was your day, dear? i'd love to hear about what happened",كيف كان يومك يا عزيزتي؟,"How was your day, dear?"
i will not do this excercice i want to go home,أنا مانقصش غادي ندير هادشي هادشي ديال ديال,i don't want to do this
you know,كنت تعرف,you knew
Why don't you want to transmit this talk,علاش مابغيتيش نوصل هاد الكلام,Why don't you want to deliver this talk
The smell of cooking makes me hungry,رائحة الطهي تجعلني جائعا,the smell of cooking makes me hungry
did i ever exagerate ?,واش بزّقت؟,what's the matter with you?
i think too much,غادي نفكّر بزّاف بزّاف,I'm thinking too much
I think of hitting the road,كانفكّر بشقّ الطريق,I'm thinking of working the way
when you look for job,عندما تبحثي عن عمل,When you're looking for work
i thought that he will help me but he left me,كان كانضنّا غادي يساعدني فتركني,I thought he'd help me and he left me
i will leave my phone in the bag,أنا غادي نترك هاتفي في الكيس,i will leave my phone in the bag
lately,راه,that's it
is that true,هادشي هاد الحق,that's right
next week we inherite,الأسبوع المقبل نرعا,next week I'll take care
When are they going to show the new players they bought?,متي سيظهرو للاعبين جدد اشتروهم؟,When will they show up to new players to buy them?
it means so much to me to keep in touch,هادشي لي بزّاف باش نبقّي على تواصل,this is too much to keep in touch
I dare you to not eat,أنا تحداك ماتش تاكل,i dare you not to eat
he also need to agree,ديال حاجة ليهو ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,i need a dial dial dial dial dial dial dial dial
I heard him talking,سمّعت ليا ثرثرة,you heard me babbling
we need to change the plan ,واجنا نغيّر الخطة,we need to change the plan
don't get out of there until you get a solution. ,مانخرج من هنا حتى تحصل على حل,I don't get out of here until you have a solution
it's not ours,هادشي ماش لينا,this isn't for us
i'm too stubborn,أنا عنيد جدا,I'm so stubborn
another time,في وقت آخر,another time
i want to be with him,مابغيت نبقّي معاه,I don't want to stay with him
i wil ltell you good news,أنا واش نقصّي عليك خبر جيّد,i'm not telling you good news
listen to my talk well,غادي غادي ندير ليا بزّاف,I'm gonna do a lot of work
he is so cautious,راه بزّاف,it's too much
"Sister, I live near you, and I want a job. ",أختاه، أنا أعيش بالقرب منك، و أنا أريد وظيفة.,"Sister, I live near you, and I want a job."
how about italian food?,ما رأيك بالطعام الايطالي؟,What do you think of Italian food?
you're worth it,واش تاا نا هادشي,what are you talking about?
At the worst,راه شر,it's evil
Come write your name,هيّا بنا نكتب أسمك,Let's write your name
you know how to choose,عرفتي كيف تختاري,You knew how to choose
"I'll ask Marcel, Jeannine and Leon if they want to come",أنا سَأَسْألُ مارسيل، جانين وليون إذا كانو يُريدونَ أَنْ يَكُونوا,"I will ask Marcel, Jeanine and Leon if they want to be"
"Great idea, I'll change it.",فكرة عظيمة، غادي نغيّرها,"Great idea, I will change it"
this road is better than the curvy one,هاد الطريق أفضل من راه,this road is better than this
do you wanna appear,مابغيتيش تشوف,You don't want to see
if only I could not be in a relationship,كون غير قدرت ما قدرت نكون في علاقة,if only i couldn't be in a relationship
"You can go if you want, and you come back for me",يُمْكِنُك أَنْ تَذْهبَ إذا تُريدُ، وأنت تَرْجعُ ليا,"You can go if you want, and you will come back"
hide your rent money,واش بزّاف ديال تاغيك,it's too much money
we talk later,هادسنّا نتكلّم بزّاف,we're talking too much
When will you stop hanging out with those friends of yours?,متى ستتوقّف عن التسكع مع أصدقاءك؟,When will you stop hanging out with your friends?
this was an era and today is a new era,هاد كان عصرا و هاد اليوم عصر جديد,this was a new afternoon
the biggest problem i ever had,أكبر مشكلة عندي,the biggest problem I have
it's on me,على حسابي,it's on me
"I'm sure, given the quality of your memory on this subject, that you are passionate about the future of worms.",أنا متأكد، نظرا لنوعية ذاكرتك على هذا الموضوع، أنك شغاف على مستقبل الديدان.,"I'm sure, given the quality of your memory on this subject, you're passionate about the future of worms."
i will go in bus,أنا غادي نمشي بزّاف,I'm gonna go for a walk
god help us,الله ساعدنا,God helped us
our defense stayed organized,راه ديال ديال ديال ديال ديال ديال ديال ديال,this is a dial dial dial
Repressed trauma maybe?,رضوخ رُبَّمَا؟,Maybe?
when did this happen,متى حدث هذا؟,When did this happen?
It's up to us to pay for the repairs with our salaries!,راهنا نا نا دَفْع للإصلاحات مَع رواتبنا!,I bet I'm paying for repairs with our salaries!
my boss is humble,رئيستي راهية,my boss is delicious
wish you a good health,تمنّاك صحّية جيّدة,I hope you are healthy
not just me alone,ماشي مابقينا معاك,It's not like we stayed with you
"no, he is a man",لا، هو رجل,"No, he's a man"
you are too late to disagree,غادي تتأخري باش نختلف,you're going to be late
the big house is useless,البيت الكبير بلا فائدة,the big house is useless
i thought that he will be religious,كان ليا ليا ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,i have a dial dial dial dial dial dial dial dial dial dial dial dial dial
why don't you want to stop spending too much money,علاش مابغيتيش تتوقّف عن إنفاق الكثير من المال,Why don't you want to stop spending too much money
I can't take my eyes off of you,مانستطيعش نبعد عينايّ عنّك,I can't keep my eyes off you
i thought that he wil lget better,خشيت ليه راه راه راه,i'm afraid of him
you scaared me,راهتي ليا,dont do me a favor
i asked her directly,سالتها بزّاف,i asked her too much
did you catch the game last night?,واش تا غادي تا لبارحة بزّاف؟,Is it too late for yesterday?
you need living certificate,واش تحتاجي لزّاف حيّة,You don't need to live
i have a bad time,كان عندي وقت غير مناسب,i had a bad time
I'm broke,أنا مفلسة,i'm broke
i still didnt stood,واش مابقيت مابقيت,what I'm left with
I dont think i will  match my blood with mom,مانضنش غادي نربي دمي مع امي,I dont think I will raise my blood with my mother
I need to go,غادي نمشي,I'm gonna go for a walk
come it's cold out there ,هاد هاد هادشي بزاف بزّاف بزّاف,this is too much
this project requires me,هاد المشروع يطلب مني,this project is asking me
Tell me,قل لي,tell me
she wont go with you,واش ماذهبت معك,i didn't go with you
Do other residents share your opinions?,واش ديال غيرك تتشارك بآراءك؟,do you share your opinion?
where is a production center,واين هو مركز إنتاج,And where is the production center
what are you saying ?,ماقولك؟,What do you say?
i will get mad,أنا غادي نغضب,I'm going to be angry
you are too late to lend your home,تاخرتي بزّاف بزّاف ديالك,you are too late
welecome again,واش نديرو مرة أخرى,what do you do again
I'm coming,أنا هادّب,I'm good
what did you eat for lunch?,علاش تاكل غادي؟,Why are you eating?
this video is old,هاد الفيديو قديم,this video is old
I should rent a place in Casablanca,غادي ندير في دار دار,I'm gonna go to a house
wait 2 min,باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,it is too much and too much is too much
I want to see if you want,مابغيتيش نشوف مابغيتيش,You don't want to see what you want
why are you tough,علاش تا قا,why are you
Let me cut this paper,خليني نقطع هاد الورقة,Let me cut this paper
take antibiotic,ديال ديال ديال ديال ديال ديال ديال,"Dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial"
just leave it to me,فقط اتركيها ليا,just leave it to me
He doesn't like the chicken wings,ماكان ليعجب بزّاف ديال ديال ديال ديال,He wouldn't like a lot of dials
I received a letter,إستلمت رسالة,i got a message
How long have you worked here?,منذ متي عملت هنا؟,How long have you worked here?
did you take the money or not yet,واش كنت تاخد المال و ماشيش بزّاف,Have you been taking money and pissing
I've been asked to write an essay on politics but I don't know where to start,طُلب مني كتابة مقال على السياسة ولكن ماعرفش نبدا,"I was asked to write an article on politics, but I don't know what to do"
Just lying on the beach,راقد فقط على الشاطيء,just lying on the beach
I take the plane too often.,أنا أستقل الطائرة بزّاف,I'm taking the plane too much
go achieve your goals,واش باش تحققي اهداك,don't check your present
what's your favorite memory from our travels together?,كيف كانت ذاكرتك المفضلة من سفراتنا معا؟,How was your favorite memory from our travels together?
Thank you.,شكرا.,Thank you.
its clear who will take this girl,هاد بزّاف ليا غادي ناخذ هاد هاد الفتاة,this is too much for me to take this girl
Don't lie to me,لا تكدّب عليّ,Don't lie to me
she is from your status,راه من حالتك,this is your condition
no I swear I don't like it,مانقسمش مانحبها,we don't need it
i will call you a taxi,غادي نكلّمك تاكسي,we'll talk to you in a taxi
i will not calm him down,مابقيت نهدّد هادشي,I don't want to talk about it
he inherited a fortune,راه ثروات,he is rich
"Anything else, you decide!",واش شي شي شي غيري، قرّر!,"do something but me, decide!"
you are not wearing shoes,مابغيتيش تلبس لباس,You don't want to wear clothes
i thought that he will come to his home,كان ليا ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,i have a dial dialddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddldddddddddddddddddddddd
god help you,ليا الله عاونك,God help you
she goes to doctor,واش تشوفها لطبيبة,what do you show a doctor
"There's salmon, caviar, and foie.",هاد السالمون، الكافياريار، و فيو.,"this is the salmon, the caviar, the vo."
you made a big fuss,واشّيت ليا بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف و بزّاف,I'm too late to pay extra too much and too much and too much
this will not help,هادشي مايساعد,this is what helps
i'm waiting for you to like my video,كانتسنّا بزّاف باش تروقك فديوتي,I've been waiting for you to like my video
you should never go through this bad neighborhood,عليكي مابغيتيش تمري في هاد الحيّ السّيّاف,you don't want to go through this neighborhood
this is a classical lesson,هاد هو درس كلاسيكي,this is a classic lesson
It would cost millions,راه تكلّف بزّاف,he's too expensive
go to the wedding,سيري لزفاف,go to the wedding
you should never calm theml down,مابغيتيش تهدئيهم,You don't want to calm them
i must speak to him,أنا غادي نتكلّم معه,I'm gonna talk to him
im sure he will be late,واش نا غادي يتأخر,I'm going to be late
its been 6 month now,راه بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,it's too much and it's too much
just told you,غادي غادي تا غادي,i will do it
I'm going to start a new novel.,أنا غادي نبدا رواية جديدة.,I'm starting a new novel.
this room is nice,هاد الغرفة رائعة,this room is great
I did a party for my brother and his wife ,كونت حفلة لشقيقي و زوجته,I made a party for my brother and wife
that's all,هادشي,this is it
I came the house,واش هاد هاد البيت,this house
when is this ,ماشي هادشي هادشي,this isn't happening
go spend your money,واش نصرف مالك,do you want to spend your money
where did this come from,من أين جاء هادشي من,where did this come from
he is always straight,راه راه راه,there is a rah
i have an idea about a project,عندي فكرة عن مشروع,I have an idea of a project
baby,هادشي,this is good
this company accepted me,تقبلني هاد الشركة,I'm kissing this company
i was peeling an apple,أنا كنت قرّر تفاحة,i was deciding an apple
send me your number,أرسل لي رقمك,Send me your number
"They say that flying is the safest form of transport, you know!",يقولون أن الطيران هو أكثر طريقة آمنة للنقل، كما تعلمون!,"They say flying is the safest way to transport, you know!"
I'm waiting for you to eat tajine,كانتسنّا باش تاكل تاجين,i'm waiting for you to eat a crown
"Tell me about it, I'm sure it's a placebo what he gave you.",قل ليه، وأنا متأكد من ديال ديال ديال ديال ديالك,"tell him, I'm sure of your dial"
Same as yesterday,راه,"hey, hey, hey, hey, hey, hey hey hey hey hey hey hey hey hey hey hey"
aren't you ashamed,ماشيش تخجل مني,you are not ashamed of me
Thank you,شكرا,thank you
you can't compare two things.,ما قدرتيش تقارن شيين,You can't compare two things
so start studying soon!,فبدأو ندرس معاك بزّاف!,I'm starting to study with you too much!
Find your own night club,جد لياليك خاصك,find yourself
I just gave you to shower,أنا فقط غاديتك تستحم,I'm just going to shower
put it in your pockets,واضعها في جيبك,put it in your pocket
i will score a nice goal,أنا غادي نسجل هادشي هادشي,i will record this
He is calling his friend,راه نادى بصديقه,he called his friend
do have salety here,ديال ديال هادشي هنا,this is here
did you speak with them,كانو تخاطبو معاهم,they were talking with them
i miss this sight,غادي نفوت هاد البصر,i will miss this sight
it incorporates some recent discoveries,راه يجمع بعض الاكتشافات الحديثة,he's gathering some new findings
try to come,واش نمشي,I'm going to go
you should respect the limits,عليك أن تحترمي الحدود,you need to respect the border
He looks a bit bored too,راه يضجر بزّاف بزّاف بزّاف,he's bored too much
you may gain nothing,غادي تربحي ليا بزّاف باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف و بزّاف بزّاف,you will win me a lot too much too much too much too much and too much
I am American,أنا أديرك,I'm turning you
we do it,نديرها,I'm running it
"Unfortunately, I didn't understand the last sentence, can you rephrase that?",لسوء الحظ، أنا مافهمت الجملة الأخيرة، هَلّ بالإمكان أَنْ تُعيدي صياغة هاد؟,"Unfortunately, I didn't understand the last sentence, can you rephrase this?"
without getting too ahead of yourself,من دون أن تتقدّم على نفسك,without getting ahead of yourself
when i was outside someone followed me,اثناء خروجي كان ليا ليا ليا,"while I'm out, I have"
And why are you traveling today?,واش تسافر اليوم؟,do you travel today?
it's a table,هاد طاوله,this table
next time,هادشي ديال ديال ديال ديال,this is a dial of dial
you wont find her home,مابغيتيش تجدها ديالها,You don't want to find her
its not on the delivery,ماشي غادي ديال ديال ديال ديال,It's not good for me
That's not fair.,هادشي غير عادل,this is unfair
i have never entered a churche,أنا مابقيت في كنيسة,I didn't stay in a church
you are too late to buy dates,واش تتأخري بزّاف بزّاف بزّاف بزّاف,you are too late
I dare you to explain this quote,هاداك تفسّر ليا هاد الاقتباس,this is the explanation for the quote
half past,باش باش باش بزّاف,it's too much
i want all the traveler  need,مابغيتي بزّاف المسافر,You didn't want to travel too much
what is the last book you read?,ماهو آخر كتاب قرأته؟,What's the last book you read?
you are too late,غادي بزاف بزّاف بزّاف,it's too late
living cost here is cheao,بزّاف بزّاف هاد باش بزّاف,too much is too much
what do you need,ما حاجتيك؟,What do you need?
Where can I find the tea?,أين يمكني أن أجد الشاي؟,Where can I find tea?
He didn't have abundance when he grew up. ,ماكان مايملكه بزّاف بزّاف بزّاف.,he didn't have too much.
The shark is an aquatic animal,القرشة حيوان ماحي,the shark is an animal
which celebrity would you like to meet?,ما هو الشهرة التي ترغب في مقابلتها؟,what fame do you want to meet?
we can't get enough of this meetup,مانستطيعش ناقدر نا نا ناكل من هاد الملتقى,i can't appreciate this meeting
clear the table,وضّح المائد,explain the table
why did you bring a tree onto the plane?!,علاش جلبت شجرة على الطائرة؟,Why did you bring a tree on the plane?
tell me if you knew something,قل لي ليا غادي تاعرف شي شي,tell me something
You don't want to spend ,مابغيتيش نصرف,i don't want to go
Have you tried to eat this typoe of chocolat,عمرك جربتي تاكل ديال ديال تشوكولات,Have you tried eating chocolates
it's ok,راه بزّاف,it's too much
give me change please,علّمني فكة من فضلك,teach me change please
i won't find better then you ,أنا مانوجد أحسن ثمّ أنت.,I'm better at it then you are.
i don't have call coins,ماعندي ماشي نطلي بزّاف بزّاف,I don't think I'm too late
a drunk guy stroke my friend,رجل سكتة ليا صديقي,"a man shut up for me, my friend"
I'm recording an audio,أنا أسجل صوت,I'm recording a sound
too many clothes,راه ديال بزّاف,it's too much
still renting,باش باش بزّاف,what's the matter with you
the doctor prescribed medications for me,الطبيب وصف ليا ديال,the doctor told me
She's older than me,هي أكبر مني,She's older than me
close your eyes,غادي غادي عيناك,your eyes are going
come hold my hand,واش تا ليدّي,what is my hand
you have big expectations,عندك توقعات كبيرة,you have high expectations
did your car broke,تحطّمت بسيارتك,you crashed your car
i thought that he will perserve the motobike,كانضن ليه غادي يقدر على ديال ديما ديموك,i thought he'd be able to do his job
the team's strategy on the field was well coordinated,كانت استراتيجية الفريق في الميدان كانت جيدة التنسيق,The team strategy in the field was well coordinated
she don't want to wake up,مابغيتيش نستيقظ,You don't want to wake up
Omar gave it to Mohamed,عمر اعطاها لمحمد,Omar gave it to Muhammad
whats for diner tonight,واش ديال ديال الليلة,what dial tonight
i can't live without you,أنا مانقدرش نسكن بلاك,I can't live with you
we found a line,واجدنا سطر,we found a line
i've got a surprise for you,عندي مفاجأة لك,I have a surprise for you
i went with you,أنا مشيت معك,i went with you
When are you going to do my job?,متى ستقوم بوظيفتي؟,When will you do my job?
education make you grow up,علاش ليك تربي,why don't you raise
 you are too late to stock goods,واش تاخرت بزّاف بزّاف بزّاف,you are too late
best thing,راه,he is
I don't speak very well,ماكانشش نتكلّم بزّاف بزّاف,We weren't talking too much
is the meter on?,هاد ال متر على؟,this meter is on me?
It's six months since I've seen her,مرّت ستة أشهر منذ أن رأيتها,it's been six months since i saw her
from morning ive been thinking what should i do,من صباح ماكنتفكّر ماعليّ فعله,From the morning I wasn't thinking what to do
You don't want to agree with him,مابغيتيش توافقي عليه,You don't want to agree with him
you can edure ,واش تقدر تاخدش,can you get a scratch
i will pour this juice in the glass,غادي تسكب هاد العصير في الكوب,you will pour this juice in the cup
I'm thinking if swam in the pool,مانفكّر لو سبح في البركة,I wouldn't think if he swam in the pool
she a normal problem,هادشي مشكلة طبيعية,this is a natural problem
Really we're about the same age.,حقّا نحن تقريبا نفس العمر.,Really we're almost the same age.
i thought that he will have better butter,واش كان ليا ليه زبدة أفضل,I've had better butter
what do you think is the greatest accomplishment of your life?,ما رأيك هو أعظم إنجاز في حياتك؟,What do you think is the greatest achievement of your life?
I found him in the bus station,واجدته في محطة الباص,i found him at the bus station
i had to ask my friend to prepare ,كان عليّ أن أطلب من صديقتي أن تحضّر,i should have asked my friend to prepare
why you dont wanna decide yet,علاش مابغيتيش تقرّر بعد,Why don't you want to decide yet
and when she coms tell her to come,و عندما كانت تاقول ليها تاتي,And when she told me to come
i bought a toy,شريت لعبة,i bought a game
he tells me everything,قال لي كل شي,he told me everything
he has big taste,راه راه بزّاف بزّاف بزّاف,it's too much
he have nothing to do,ماعنده شي ليعمله,he has nothing to do
she want to work,راه تشتغل,it's working
between them,راه بينك وبينهم,between you and them
I have difficulty sleeping,كان عندي بزّاف,i had too much
god forbids,راه,hey!
i will share my money,غادي نتشارك في مالي,we will share my money
what's your opinion on taking a cooking class together to learn a new cuisine?,مارأيك في أخذ فصل طهي معا لتعلّم مطابخ جديدة؟,How about taking a cooking class together to learn new kitchens?
they told me to rest ,قالو ليا نرتاح,They told me to rest
I think we will understand each other,واش نتفهّم معانا,do you understand with us
don't threw something on her,واش تاخد شي شي شي عليها,she's getting something on her
God is with me,الله معي,God is with me
oh! you became famous ,أوه! أصبحت مشهورة!,I got famous!
"Oh, yeah?",أوه، نعم؟,"Oh, yeah?"
i will leave the house,أنا غادي نخلي البيت,i'm going to clear the house
my mom yelled at me yesterday,أمّي صرخت ليا البارح,my mom yelled at me yesterday
you are too late to reduce access,بزّا بزّاف باش تقصّر,you shouldn't be too short
this place is spacious,هادشي هادشي هادشي,this is it! this is it!
Her father is an electrician,راه ديال هادشي راه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,this is a dial to the dial to the dial to the dial to the dial to the dial to the dial
I'm just passing time,أنا غادي نفوت الوقت,i'm running out of time
I dare you to take me a picture,تحداك تا تاخد ليا صورة,you dare to take a picture of me
it's not very high,هادشي ماشي راه,this is not the case
He looks angry,راه غادي غادي غادي,i'm going to go to go
the men is famous here,الرجال مشهورون هنا,The men are famous here
i did nothing,أنا مافعلش,i didn't do it
where are you at,أين كنت فيك؟,Where have I been in you?
they written a report,كانو يكتبو تقرير,They were writing a report
if only I could falsify this book,كون غير قدرت على تزييف هذا الكتاب,if only I could fake this book
you became pretty,غادي تبولي,he will piss
Why don't you want to find a justification,علاش مابغيتيش تاجدو التبرير,Why don't you want to find justification
Especially since we don't have a tent to shelter us,خاصتنا ماعندنا ديال هاد الخيمة تأوينا,we don't have this tent to house us
everyone for himself,راه ليه,what is it
whats his name,راه اسمه,his name
hey how are you,كيف حالك؟,How are you?
the man is peacefully photographed,راه راه راه ديال ديال ديال,he is a dude
in my eyes you will always stay young,في عينيّ واش تبقّو بزّاف,in my eyes you stay too long
Is this your book?,هادشي كتابك؟,Is this your book?
You don't need to call me sir.,مابغيتيش تنادني بسيدي,You don't want to call me sir
i will do sports,أنا غادي ندير رياضة,i'm going to play sports
Why dont you want to stop boss from talking,علاش مابغيتيش تمنعي الرئيس من الكلام,Why don't you want to stop the president from talking
i dont let my husband do something else,ماندع زوجي يفعل شي غيري,I don't let my husband do anything but me
if only I could speak but i'm sick,كون غير قدرت نتكلّم ولكنّي مريض,if only i could speak but i am sick
do I need to keep calling people,مابغيتي غادي ندّعي ناس,you don't want to invite people
My mom has one like it.,أمّي عندها واحد مثله,my mom has one like him
they went via transport,مشاو عبرو بزّاف بزّاف بزّاف,they went too far
what important sports are particularly popular in this country?,ما هي الالعاب الالعاب الرياضية راهية في هذه البلاد؟,What are the sports games in this country?
No problem,بلا مشكلة,No problem
They're managers of the other departments,هم مديرو الأقسام الأخرى,they are the directors of other departments
this reporter is one of the best,هاد المراسل واحد من أفضل,this reporter is one of the best
you are welcome,على الرحب و السعة,you're welcome
Don't be discouraged.,مابغيتيش تاخد,You don't want to take
he told me you beat her,راه قال ليك هزمتيها,he told you to beat her
relevant,هادشي بزّاف بزّاف,this is too much
dont say this,واش ماقولي هادشي,what do I say
do you have hot bread?,واش عندك بزّاف؟,What do you have that?
if you were in my place what you would have done,لو كنت في محلّي ماكنت لتفعل,"If you were in my place, you wouldn't."
I dont think the cut will heal,مانضناشاش القصّة ستشفي,we don't think the story will heal
god help women,علا غادي ندير النسوة,I will turn the women
dont forget about me,ماننسى ليا,don't forget about me
"Always catch the clothes, sister. ",دائما ما تاغيّر ديال ديال ديالك يا أختاه,"you always change yours, sister"
i'm so tired,أنا مجهدة جدا,i'm too tired
it's unlikely,راه غير متوقّع,he's unexpected
i go from work,أنا غادي نمشي من العمل,i'm going to go to work
climate change,واش ديال ديال ديال ديال ديال ديال ديال ديال,it's just a dial to the dial to the dial to the dial
Don't yell at them,واش لا تصيح فيهم,Don't yell at them
overweight make you older,وزنك يزيدك عمرا,your weight will increase your life
I think of taking my car to repear,فكّرت في أخذ سيّارتي للفارس,I thought of taking my car to the cavalry
my uncle is ferious at me,عمّي ناقد ليا,my uncle is a critic
no problem I found it,مامشاكل ماوجدتها,i didn't find it
i will get my house good smell,أنا غادي ندير ديال ديال ديال ديال ديال ديال ديال ديال,I'm going to run a dialdddddddddddddddddddddddddddddddddddddddddddlddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
and work here to pay my rent,واعمل هنا كي تدفع ليا ديال ديال ديال ديال ديالي,work here to pay me a dial
i'am just resting i do nothing,أنا غادي نخلّي ماعندي,I'm going to clear what I have
prepare them at the door,غاديهم عند الباب,he brought them to the door
i really like your country,أنا حقا أحب بلدك,I really like your country
i'm from morocco,أنا من كوكو,I'm from Coco
there is no place for you to sleep,مامن مكان ننام فيه,There is no place to sleep
did you phone her or not,واش اتصلت بها واش ماشي,didn't you call her
the hotels don't seem very comfortable.,فنادق لا تبدو مريحة جدا.,Hotels don't look too comfortable.
I dare you to not stutter,نتجرأك على ماتش تترعد,we dare you not to tremb
it's up to you,راه ليك,this is yours
I dare you to park in this tight space,أنا تحداك تركن في هاد الفسحة الضيقة,I dare you to park in this tight space
she is pretty,هادشي هادا بزّاف,this is too much
i need to work,أنا محتاجة للعمل,i need work
my firiend want to be an engineer,راه ليا كي يكون مهندسا,he is an engineer
this rule is unchangeable,هاد القاعدة غير قابل للتغيير,this rule is unchangeable
think about your child,فكّر في طفلك,Think of your child
I'm waiting for you to leak the exam,كانتسنّا فيك تخرّب الإمتحان,I'm waiting for you to ruin the exam
i dont like life,أنا مانحب الحياة,I'm a lifer
dont be false,واش ماكون غير مزور,what isn't a fake
I want to buy argan oil,مابغيتيش نشتري argan ديال,you don't want to buy an argan dial
where are you going,هادشي هادشي,this is it
He might get even sicker!,هو قادير يمرض حتى!,he's sick!
"Look at this one, every time he goes for the piece of bread to steal from his rightful recipient",هاد هاد واحد، كل مرة يذهب لقطعة خبز ليسرق من مستلمه الحقيقي,"This is one, every time he goes to a piece of bread to steal from his real recipient"
I'm waiting for you to send me a flag of morocco,كانتسنّا باش تا تا نا تا نا نا نا نا ديال الماروكو,i'm waiting for you to tell me what to do
"take me there, please",غاديني هادشي، من فضلك,"this is good, please"
you should never pay your bills due,مابغيتيش تدّفّر فلوس ديالك,You don't want to pay your money
there are historical landmarks,و هاد التاريخ ديال التاريخ,this is history
everything you give him time,كل شيء تعطيه بعض الوقت,everything gives him time
you study tomorrow,غادي ندرس,we will study
there's a poor atmosphere and little water,هادشي هاد بزّاف بزّاف بزّاف و بزّاف بزّاف بزّاف الماء,this is too much and too much water
stop this,توقّف هادشي,stop it
yes from 9th chair,بلاي من كرسيّ التاسع,from the ninth chair
I didn't forget about nothing,مانسيت ماشيشيشيش,i don't forget to do this
Why don't you want to ,علاش مابغيتيش,Why don't you want to
i want some covers,مابغيتي بزّاف بزّاف,You didn't want too much
just speak,فقط نتكلّم,we just talk
if only I could be independant,كون غير قدرت قدرت نا نادير,if only I could do
wait until you find a project,بزّاف بزّاف بزّاف بزّاف بزّاف ديال بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,it is too much too much too much too much
you find too much dificulties,كنت تجدي ديال بزّاف ديال بزّاف ديال بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,you'd find an extra extra extra extra extra extra extra too much extra extra extra extra too much
They'd need to be very close together,كانو ليكونو مقربين معا,they'd be close together
What's your brother's name?,ماهو اسم اخيك؟,What's your brother's name?
I dare you to stand in this place,تحداك تقف في هاد المكان,I dare you to stand in this place
i like my neighbor food,أحب غادي جارتي,i like my neighbor
without repeating this task from the beginning,من غير ماكرّر هاد هاد المهمّة من البدايّة,without repeating this task from the beginning
